Title;Rank
Advanced Sustainable Systems;2757
Equity and Excellence in Education;2758
Business and Information Systems Engineering;2759
Clinical Neuropsychologist;2760
Computational Brain and Behavior;2761
Current Opinion in Pharmacology;2762
Frontiers in Psychiatry;2763
Health Education and Behavior;2764
Journal of Educational Computing Research;2765
Journal of Neurodevelopmental Disorders;2766
International Journal of Bipolar Disorders;2767
Journal of Endocrinology;2768
Policy and Politics;2769
Qualitative Health Research;2770
Social Problems;2771
Journal of Infection and Public Health;2772
ACM Transactions on Privacy and Security;2773
Frontiers in Neuroscience;2774
Global Health Research and Policy;2775
Cancer Epidemiology Biomarkers and Prevention;2776
Carbon Balance and Management;2777
Clinical Pharmacokinetics;2778
Communications in Mathematical Physics;2779
Journal of Cognitive Neuroscience;2780
Journal of the American Academy of Orthopaedic Surgeons, The;2781
Harm Reduction Journal;2782
International Journal of Transgender Health;2783
IEEE Transactions on Terahertz Science and Technology;2784
Journal of Contextual Behavioral Science;2785
Marine Chemistry;2786
Nonlinear Analysis: Real World Applications;2787
Annals of Botany;2788
Fiscal Studies;2789
Materials and Structures/Materiaux et Constructions;2790
Materials Today Chemistry;2791
Molecular Neurobiology;2792
Advances in Calculus of Variations;2793
Journal of Sport Management;2794
European Journal of International Relations;2795
Group Processes and Intergroup Relations;2796
JCO Oncology Practice;2797
Molecular Pharmacology;2798
Bone and Joint Research;2799
Drug Safety;2800
Sports Health;2801
Current Opinion in Colloid and Interface Science;2802
Gerontology;2803
ACM Transactions on Multimedia Computing, Communications and Applications;2804
Cultural Anthropology;2805
Clinical Colorectal Cancer;2806
Respirology;2807
Pediatric Allergy and Immunology;2808
CNS Drugs;2809
Endocrinology and Metabolism Clinics of North America;2810
FEBS Letters;2811
LGBT Health;2812
Optics Letters;2813
DNA Research;2814
Nonlinear Dynamics;2815
Eurasian Mining;2816
Psychiatric Services;2817
Briefings in Functional Genomics;2818
European Financial Management;2819
Progress in Oceanography;2820
Best Practice and Research in Clinical Rheumatology;2821
BMC Genomics;2822
International Public Management Journal;2823
Punishment and Society;2824
Brain Structure and Function;2825
IEEE Transactions on Neural Systems and Rehabilitation Engineering;2826
International Journal of Methods in Psychiatric Research;2827
Journal of Glaciology;2828
Process Safety and Environmental Protection;2829
Research in Engineering Design - Theory, Applications, and Concurrent Engineering;2830
Foundations and Trends in Electronic Design Automation;2831
IEEE Transactions on Reliability;2832
Insights into Imaging;2833
Journal of Experimental Psychology: Human Perception and Performance;2834
Preventing chronic disease;2835
BMC Psychiatry;2836
Clinical and Experimental Allergy;2837
Electoral Studies;2838
Engineering Fracture Mechanics;2839
Habitat International;2840
Topics in Cognitive Science;2841
Biochimica et Biophysica Acta - Molecular Cell Research;2842
Current Reviews in Musculoskeletal Medicine;2843
Eye and Brain;2844
International Journal of Health Policy and Management;2845
Neurogenetics;2846
SSM - Population Health;2847
American Antiquity;2848
ASN Neuro;2849
Australasian Journal of Educational Technology;2850
Clinical and Translational Gastroenterology;2851
Cultural Diversity and Ethnic Minority Psychology;2852
Journal of Behavioral and Experimental Finance;2853
Earth Systems and Environment;2854
Food Research International;2855
Ultramicroscopy;2856
Biological Chemistry;2857
Target;2858
ACS Infectious Diseases;2859
American Mineralogist;2860
BMC Bioinformatics;2861
Land Degradation and Development;2862
Journal of Atherosclerosis and Thrombosis;2863
Journal of Pain;2864
Mindfulness;2865
Ophthalmologica;2866
Journal of Marketing Management;2867
Journal of Orthopaedic and Sports Physical Therapy;2868
Psychological Inquiry;2869
Aggression and Violent Behavior;2870
Biophysical Journal;2871
Borderline Personality Disorder and Emotion Dysregulation;2872
Management International Review;2873
Cybersecurity;2874
European Eating Disorders Review;2875
Journal of Applied Meteorology and Climatology;2876
Journal of Wind Engineering and Industrial Aerodynamics;2877
Semantic Web;2878
Teachers and Teaching: Theory and Practice;2879
Elements;2880
European Planning Studies;2881
Experimental Hematology;2882
Biochemical Pharmacology;2883
Biomaterials Science;2884
European Journal of Cell Biology;2885
Government and Opposition;2886
Journal of Thoracic Imaging;2887
Philosophy and Public Affairs;2888
Theory into Practice;2889
Ecotoxicology and Environmental Safety;2890
Engineering Applications of Computational Fluid Mechanics;2891
Journal of Industrial Relations;2892
Kidney International Reports;2893
Matter and Radiation at Extremes;2894
Policy Design and Practice;2895
Sociology of Religion;2896
Behavioral Research in Accounting;2897
International Theory;2898
"Journalism &amp; communication monographs";2899
Journal of the Franklin Institute;2900
Current Opinion in Green and Sustainable Chemistry;2901
Journal of Behavioral Medicine;2902
Journal of Quality Technology;2903
Philosophical Studies;2904
Journal of the Pediatric Infectious Diseases Society;2905
Przeglad Gastroenterologiczny;2906
Surgery;2907
Cognitive, Affective and Behavioral Neuroscience;2908
Journal of Adolescence;2909
Journal of Intensive Care;2910
Journal of Survey Statistics and Methodology;2911
Journal of Exposure Science and Environmental Epidemiology;2912
Journal of Prosthodontic Research;2913
Pigment Cell and Melanoma Research;2914
Frontiers in Environmental Science;2915
International Journal for Numerical Methods in Engineering;2916
Optics Express;2917
Oxidative Medicine and Cellular Longevity;2918
Soils and Foundations;2919
Targeted Oncology;2920
Theoretical Criminology;2921
Urban Forestry and Urban Greening;2922
Acta Obstetricia et Gynecologica Scandinavica;2923
Food Packaging and Shelf Life;2924
Ocular Immunology and Inflammation;2925
Environmental Evidence;2926
European Spine Journal;2927
International Review of Environmental and Resource Economics;2928
Japanese Journal of Mathematics;2929
NDT and E International;2930
Post-Soviet Affairs;2931
Psychology of Women Quarterly;2932
Acta Crystallographica Section A: Foundations and Advances;2933
Distributed Computing;2934
Forensic Science International: Digital Investigation;2935
Journal of Cell Communication and Signaling;2936
Language Assessment Quarterly;2937
Social Psychology;2938
Animal Conservation;2939
European Journal of Clinical Investigation;2940
Journal of Career Assessment;2941
Journal of Consumer Culture;2942
Molecular and Cellular Neurosciences;2943
Proceedings - ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing;2944
World Journal of Gastroenterology;2945
American Journal of Community Psychology;2946
Journal of Substance Abuse Treatment;2947
Proceedings of the Custom Integrated Circuits Conference;2948
Cell Division;2949
Cellular Immunology;2950
Emerging Contaminants;2951
Integrated Computer-Aided Engineering;2952
International Journal of Refrigeration;2953
Journal of Leadership and Organizational Studies;2954
Theory and Society;2955
IEEE Robotics and Automation Magazine;2956
Journal of Alzheimer's Disease;2957
Journal of Experimental Criminology;2958
Journal of Graph Theory;2959
Journal of Hydrology: Regional Studies;2960
American Journal of Physiology - Renal Physiology;2961
Animal Nutrition;2962
Annals of Medicine;2963
Evaluation;2964
IEEE Microwave and Wireless Components Letters;2965
Journal of Modern Dynamics;2966
Sedimentology;2967
ASTIN Bulletin;2968
Frontiers in Systems Neuroscience;2969
Journal of Chemical Information and Modeling;2970
Journal of Neurogastroenterology and Motility;2971
China Agricultural Economic Review;2972
Clinical Biochemist Reviews;2973
European Archives of Psychiatry and Clinical Neuroscience;2974
Quaternary Geochronology;2975
Critical Studies in Education;2976
Journal of Artificial Intelligence and Soft Computing Research;2977
Bilingual Research Journal;2978
Journal of Cardiovascular Computed Tomography;2979
Marketing Letters;2980
Prospects;2981
Cellular Microbiology;2982
Journal of Benefit-Cost Analysis;2983
Reading and Writing;2984
Therapeutic Advances in Respiratory Disease;2985
Instructional Science;2986
Journal of Managerial Psychology;2987
Optics and Lasers in Engineering;2988
Organic Chemistry Frontiers;2989
Zeitschrift fur Medizinische Physik;2990
Ear and Hearing;2991
ESAIM: Mathematical Modelling and Numerical Analysis;2992
Health and Place;2993
IEEE Journal of Selected Topics in Quantum Electronics;2994
Cilia;2995
Evolutionary Computation;2996
Journal of Dairy Science;2997
Journal of Materials Chemistry B;2998
Manufacturing Letters;2999
Molecules and Cells;3000
BJPsych Open;3001
Crystallography Reviews;3002
Human Behavior and Emerging Technologies;3003
Nano Communication Networks;3004
Quantum Topology;3005
Terra Nova;3006
American Journal of Botany;3007
Neural Computation;3008
Population and Development Review;3009
Postharvest Biology and Technology;3010
Sleep Health;3011
Aging;3012
BMJ Open Diabetes Research and Care;3013
IACR Transactions on Symmetric Cryptology;3014
Applied Intelligence;3015
Biomedical Signal Processing and Control;3016
Journal of Choice Modelling;3017
Sport, Education and Society;3018
European Journal of Internal Medicine;3019
Discrete and Continuous Dynamical Systems;3020
Journal of Evidence-Based Dental Practice;3021
Journal of Organizational and End User Computing;3022
MRS Bulletin;3023
Neurophotonics;3024
British Medical Bulletin;3025
Composites Communications;3026
Science China Information Sciences;3027
Surgical Endoscopy and Other Interventional Techniques;3028
Cancer Gene Therapy;3029
Coastal Engineering Journal;3030
Geomorphology;3031
International Journal of Geomechanics;3032
Journal of Autism and Developmental Disorders;3033
Journal of Geometric Analysis;3034
International Journal of Entrepreneurial Behaviour and Research;3035
Journal d'Analyse Mathematique;3036
Entomologia Generalis;3037
Environmental Sciences: Processes and Impacts;3038
European Journal of Clinical Microbiology and Infectious Diseases;3039
Journal of Environmental Sciences;3040
Journal of Hospitality and Tourism Technology;3041
Journal of Writing Research;3042
Ophthalmology and Therapy;3043
Psychology and Psychotherapy: Theory, Research and Practice;3044
Harmful Algae;3045
Neuroepidemiology;3046
RSF;3047
Telecommunications Policy;3048
BMJ Evidence-Based Medicine;3049
Clinical Lung Cancer;3050
Cognitive Science;3051
Counseling Psychologist;3052
Nutrition and Diabetes;3053
Robotics and Autonomous Systems;3054
Temperature;3055
International Journal of Hydrogen Energy;3056
International Reviews in Physical Chemistry;3057
Journal of Endovascular Therapy;3058
Current Rheumatology Reports;3059
International Political Sociology;3060
Pediatric obesity;3061
Physical Review Materials;3062
Psychology and Marketing;3063
Science Technology and Human Values;3064
Sustainable Energy, Grids and Networks;3065
Freshwater Biology;3066
Journal of Experimental Child Psychology;3067
Obesity Facts;3068
Physical Review Fluids;3069
Reproductive Biology and Endocrinology;3070
Human Development;3071
Journal of Cranio-Maxillo-Facial Surgery;3072
Journal of Mathematical Fluid Mechanics;3073
Labour Economics;3074
Research and Practice for Persons with Severe Disabilities;3075
Separation and Purification Technology;3076
Sexually Transmitted Infections;3077
Asterisque;3078
Earth, Planets and Space;3079
Journal of Empirical Finance;3080
Materials Science for Energy Technologies;3081
Psycho-Oncology;3082
Annual Review of Anthropology;3083
Extreme Mechanics Letters;3084
International Journal of Cardiology;3085
Seminars in Thrombosis and Hemostasis;3086
Biomedicine and Pharmacotherapy;3087
Epilepsia Open;3088
Psychology of Violence;3089
Bioconjugate Chemistry;3090
Earth Surface Processes and Landforms;3091
Health Policy and Planning;3092
Journal of Comparative Economics;3093
Clinical Genetics;3094
Journal of Public Policy and Marketing;3095
International Journal of Lightweight Materials and Manufacture;3096
Journal of Education for Teaching;3097
Journal of the Royal Statistical Society. Series A: Statistics in Society;3098
Materials Science and Engineering C;3099
Therapeutic Advances in Gastroenterology;3100
Biochemistry;3101
Eurasian Business Review;3102
Physics of Fluids;3103
Lupus Science and Medicine;3104
Neurorehabilitation and Neural Repair;3105
Non-coding RNA Research;3106
Tissue Barriers;3107
Administration and Society;3108
Angle Orthodontist;3109
Biocybernetics and Biomedical Engineering;3110
Journalism Practice;3111
Journal of Sustainable Cement-Based Materials;3112
Cognitive Therapy and Research;3113
Journal of Neurophysiology;3114
Journal of the London Mathematical Society;3115
Addiction Biology;3116
Applied Ocean Research;3117
Coral Reefs;3118
Fungal Biology and Biotechnology;3119
IEEE Control Systems;3120
Journal of Happiness Studies;3121
Perspectives in Plant Ecology, Evolution and Systematics;3122
Advanced Nonlinear Studies;3123
Virchows Archiv;3124
European Journal of Neuroscience;3125
Journal of Information Systems;3126
Journal of the American College of Radiology;3127
Physical Review A;3128
Shiyou Xuebao/Acta Petrolei Sinica;3129
Corporate Governance: An International Review;3130
European Journal of Sport Science;3131
Insect Conservation and Diversity;3132
Journal of Cancer Survivorship;3133
Journal of Immunotherapy;3134
Transportmetrica A: Transport Science;3135
Tunisian Journal of Mathematics;3136
AMS Review;3137
Cancer Biology and Medicine;3138
Nonlinear Differential Equations and Applications;3139
Science and Medicine in Football;3140
Annals of Emergency Medicine;3141
Frontiers in Medicine;3142
Georisk;3143
HPB;3144
International Journal of Climatology;3145
Journal of Bridge Engineering;3146
Journal of Economic Psychology;3147
Random Structures and Algorithms;3148
Tree Physiology;3149
ACS Applied Nano Materials;3150
Carcinogenesis;3151
GeoHealth;3152
IEEE Transactions on Instrumentation and Measurement;3153
Personality and Individual Differences;3154
Security Dialogue;3155
Annals of Clinical Microbiology and Antimicrobials;3156
BMB Reports;3157
Expert Opinion on Investigational Drugs;3158
Journal of Applied Volcanology;3159
Global Journal of Flexible Systems Management;3160
International Journal of Molecular Sciences;3161
Journal of Grid Computing;3162
ACM Transactions on Internet Technology;3163
Asian Journal of Pharmaceutical Sciences;3164
IEEE Security and Privacy;3165
Mechatronics;3166
Transportation Geotechnics;3167
Clinical Orthopaedics and Related Research;3168
Computers and Geosciences;3169
International Journal of Multimedia Information Retrieval;3170
Medical Physics;3171
Plant Science;3172
Proceedings - International Conference on Distributed Computing Systems;3173
Biochimica et Biophysica Acta - Molecular and Cell Biology of Lipids;3174
Journal of Dynamics and Differential Equations;3175
Scandinavian Journal of Hospitality and Tourism;3176
Journal of Inflammation;3177
Mechanisms of Ageing and Development;3178
Vadose Zone Journal;3179
Reproductive BioMedicine Online;3180
Computational Linguistics;3181
Journal of Nonverbal Behavior;3182
Journal of Political Philosophy;3183
Journal of Specialised Translation;3184
Review of Higher Education;3185
Swiss Journal of Economics and Statistics;3186
Virologica Sinica;3187
Applied Geography;3188
Precision Agriculture;3189
Anaesthesia, critical care & pain medicine;3190
Current Protocols in Protein Science;3191
Global Spine Journal;3192
Journal of the Meteorological Society of Japan;3193
Memory and Cognition;3194
Cellular Signalling;3195
Laryngoscope;3196
Maturitas;3197
Plant Methods;3198
Best Practice and Research in Clinical Endocrinology and Metabolism;3199
Evolution, Medicine and Public Health;3200
Insect Biochemistry and Molecular Biology;3201
Landscape Ecology;3202
Marine Policy;3203
Mathematische Zeitschrift;3204
Statistica Sinica;3205
Annals of Operations Research;3206
Archives of Women's Mental Health;3207
Interactive Learning Environments;3208
International Journal of Damage Mechanics;3209
Journal of Bacteriology;3210
Journal of Clinical and Translational Hepatology;3211
American Politics Research;3212
JBJS Open Access;3213
Journal of Building Engineering;3214
Human Gene Therapy;3215
Journal of Social Policy;3216
Biochemical Journal;3217
Breast;3218
Clinical and Translational Science;3219
Journal of Sports Sciences;3220
Proteomics;3221
Technology, Pedagogy and Education;3222
Computational Social Networks;3223
Environmental Sciences Europe;3224
Food Science and Human Wellness;3225
Theory, Culture and Society;3226
Economic Development and Cultural Change;3227
Image and Vision Computing;3228
Journal of Experimental Biology;3229
Journal of Intellectual Capital;3230
Annals of Surgical Oncology;3231
International Journal of Multiphase Flow;3232
Journal of Renal Nutrition;3233
High Voltage;3234
Journal of Tissue Engineering;3235
Thinking Skills and Creativity;3236
BMC Public Health;3237
Journal of Clinical Psychology;3238
Journal of the Energy Institute;3239
European Journal of Mechanics, A/Solids;3240
Family Process;3241
Management Decision;3242
Cyberpsychology, Behavior, and Social Networking;3243
Hospital pediatrics;3244
Journal of Economic Dynamics and Control;3245
Journal of Fluids and Structures;3246
Journal of Hispanic Higher Education;3247
Journal of Oral Microbiology;3248
Plant Phenomics;3249
Virus Research;3250
Advanced Structural and Chemical Imaging;3251
BMC Geriatrics;3252
International Review of Social Psychology;3253
Advances in Parasitology;3254
African Affairs;3255
Expert Review of Clinical Immunology;3256
IEEE Transactions on Molecular, Biological, and Multi-Scale Communications;3257
Journal of Nutritional Biochemistry;3258
Structural Change and Economic Dynamics;3259
Ecosphere;3260
Health Technology Assessment;3261
International Journal of Science Education;3262
Journal of Science Education and Technology;3263
Paediatric and Perinatal Epidemiology;3264
Molecular Human Reproduction;3265
Ticks and Tick-borne Diseases;3266
Archives of Sexual Behavior;3267
Developmental Dynamics;3268
International Journal of Science and Mathematics Education;3269
One Health;3270
Innovative Food Science and Emerging Technologies;3271
Molecular Cytogenetics;3272
Political Studies;3273
Project Management Journal;3274
Applied Surface Science;3275
EPMA Journal;3276
GCB Bioenergy;3277
Population and Environment;3278
Communications in Nonlinear Science and Numerical Simulation;3279
Food Quality and Preference;3280
Journal of Research on Adolescence;3281
Tumour Virus Research;3282
Journal of Teaching in Physical Education;3283
Pathology;3284
Wear;3285
Cancer Medicine;3286
Egyptian Informatics Journal;3287
International Journal of Geographical Information Science;3288
Journal of Law and the Biosciences;3289
Stochastic Processes and their Applications;3290
Asian Pacific Journal of Allergy and Immunology;3291
Communications in Number Theory and Physics;3292
Ecosystems and People;3293
European Journal of Cardio-thoracic Surgery;3294
Frontiers in Pharmacology;3295
Heart Failure Reviews;3296
Regional Environmental Change;3297
International Review for the Sociology of Sport;3298
IPSJ Transactions on Computer Vision and Applications;3299
Journal of diabetes science and technology;3300
Natural Hazards and Earth System Sciences;3301
Progress in Orthodontics;3302
Infectious Diseases and Therapy;3303
Psychology of Sexual Orientation and Gender Diversity;3304
SIAM Journal on Financial Mathematics;3305
ACS Chemical Neuroscience;3306
Advances in Agronomy;3307
Aquaculture, Economics and Management;3308
BMC Evolutionary Biology;3309
Neuropsychologia;3310
World Allergy Organization Journal;3311
ACM Transactions on Computation Theory;3312
Infection and Immunity;3313
International Journal of Tourism Research;3314
Occupational and Environmental Medicine;3315
Police Quarterly;3316
Computer Law and Security Review;3317
Current Osteoporosis Reports;3318
Journal of Contingencies and Crisis Management;3319
Quest;3320
Technology in Society;3321
Technology, Knowledge and Learning;3322
IISE Transactions;3323
International Journal of Solids and Structures;3324
Journal of Personal Selling and Sales Management;3325
Proceedings - International Conference on Data Engineering;3326
Test;3327
Biofilm;3328
Journal of Intelligent Transportation Systems: Technology, Planning, and Operations;3329
Studia Historica Slovenica;3330
International Journal of Medical Informatics;3331
Journal of Macromarketing;3332
ACM Transactions on Economics and Computation;3333
Advanced Therapeutics;3334
BJS open;3335
BMC Cancer;3336
Environmental and Experimental Botany;3337
Health systems and reform;3338
Journal of Cross-Cultural Psychology;3339
Journal of Hepato-Biliary-Pancreatic Sciences;3340
Journal of Trauma and Acute Care Surgery;3341
Leadership;3342
Applied and Environmental Microbiology;3343
Cancer cytopathology;3344
Pflugers Archiv European Journal of Physiology;3345
American Journal of Medical Genetics, Part B: Neuropsychiatric Genetics;3346
IET Renewable Power Generation;3347
International Journal of Thermal Sciences;3348
Life Sciences;3349
Plasma Physics and Controlled Fusion;3350
Applied Ergonomics;3351
Educational Policy;3352
Food Microbiology;3353
Journal of Medical Systems;3354
Journal of Process Control;3355
Applied and Computational Mathematics;3356
Drugs in Context;3357
IEEE Electron Device Letters;3358
Indoor Air;3359
Journal of Studies in International Education;3360
Psychosomatic Medicine;3361
International Journal of Precision Engineering and Manufacturing - Green Technology;3362
Vaccine: X;3363
Veterinary Quarterly;3364
American Journal of Health Economics;3365
Case Studies in Chemical and Environmental Engineering;3366
Journal of Animal Science and Biotechnology;3367
Journal of Biomedical Informatics;3368
Journal of NeuroEngineering and Rehabilitation;3369
Plasmid;3370
Environmental Education Research;3371
European Journal of Political Economy;3372
Journal of Synchrotron Radiation;3373
Mobile Media and Communication;3374
Carbon Resources Conversion;3375
Frontiers in Physiology;3376
Head and Neck;3377
Medical Decision Making;3378
Research in Sports Medicine;3379
American Journal on Addictions;3380
Cliometrica;3381
Current Hematologic Malignancy Reports;3382
Journal of Systematics and Evolution;3383
Statistics and Computing;3384
European Constitutional Law Review;3385
Journal of Law, Economics, and Organization;3386
Clinical and Experimental Rheumatology;3387
Journal of Asian Earth Sciences;3388
Journal of Critical Care;3389
MycoKeys;3390
Plant and Soil;3391
World Wide Web;3392
Designs, Codes, and Cryptography;3393
Food Engineering Reviews;3394
Journal of Physics G: Nuclear and Particle Physics;3395
Materials Characterization;3396
Mental Health and Physical Activity;3397
"Public Performance &amp; Management Review";3398
Advances in Atmospheric Sciences;3399
Cognition and Emotion;3400
Environment and Planning C: Politics and Space;3401
Genes and Cancer;3402
Geoscience Letters;3403
Hepatology Research;3404
Inorganic Chemistry;3405
International Journal of Life Cycle Assessment;3406
Biomedical Optics Express;3407
Diseases of the Colon and Rectum;3408
Polymer Chemistry;3409
Aquatic Toxicology;3410
Capillarity;3411
Hypertension Research;3412
Infection;3413
Journal of Learning Disabilities;3414
Public Health Reports;3415
Trends in hearing;3416
Diabetology and Metabolic Syndrome;3417
Journal of racial and ethnic health disparities;3418
ACM Transactions on Database Systems;3419
American Journal of Orthodontics and Dentofacial Orthopedics;3420
BMC Plant Biology;3421
Chinese Chemical Letters;3422
IEEE International Conference on Intelligent Robots and Systems;3423
Economics and Politics;3424
International Journal of Qualitative Methods, The;3425
American Journal of Cardiology;3426
Econometric Reviews;3427
European Physical Education Review;3428
IEEE Software;3429
Journal of Food Engineering;3430
Molecular Systems Design and Engineering;3431
Quantitative Biology;3432
Journal of Dentistry;3433
Journal of Mathematical Logic;3434
Journal of Neuroscience Research;3435
Mathematical Research Letters;3436
Metabolic Engineering Communications;3437
Road Materials and Pavement Design;3438
Set-Valued and Variational Analysis;3439
College and Research Libraries;3440
Design Studies;3441
Microbial Cell Factories;3442
Topics in antiviral medicine;3443
Computers and Electrical Engineering;3444
European Accounting Review;3445
IEEE Transactions on Circuits and Systems II: Express Briefs;3446
International Communications in Heat and Mass Transfer;3447
International journal of oral implantology (New Malden, London, England);3448
International Transactions in Operational Research;3449
Progress in molecular and subcellular biology;3450
Respiratory Medicine;3451
Social and Cultural Geography;3452
Virology;3453
Zoological Journal of the Linnean Society;3454
Critical Reviews in Toxicology;3455
Frontiers in Neuroinformatics;3456
Journal of Immigrant and Refugee Studies;3457
Journal of Pediatrics;3458
Language Policy;3459
Plant Molecular Biology;3460
Population, Space and Place;3461
American Journal of International Law;3462
IET Generation, Transmission and Distribution;3463
International Journal of Social Robotics;3464
Journal of Analytical and Applied Pyrolysis;3465
Journal of Applied Developmental Psychology;3466
Journal of Nursing Management;3467
Journal of Prosthetic Dentistry;3468
Microbiological Research;3469
Surgery for Obesity and Related Diseases;3470
Electric Power Systems Research;3471
Facial Plastic Surgery and Aesthetic Medicine;3472
International Journal of Biochemistry and Cell Biology;3473
Journal for the Scientific Study of Religion;3474
Journal of Assisted Reproduction and Genetics;3475
Journal of Human Genetics;3476
Mitochondrion;3477
NMR in Biomedicine;3478
Biomarker Insights;3479
Clinical and Experimental Metastasis;3480
HemaSphere;3481
Journal of Special Education;3482
Osteoporosis International;3483
American Journal of Education;3484
Applied Soil Ecology;3485
BMJ Open Science;3486
Forest Ecology and Management;3487
Genetics Selection Evolution;3488
Heredity;3489
Journal of Economic Behavior and Organization;3490
Journal of Hypertension;3491
Journal of the European Ceramic Society;3492
Neurospine;3493
SIAM Journal on Applied Dynamical Systems;3494
Virulence;3495
Handbook of Environmental Economics;3496
IEEE Journal of Oceanic Engineering;3497
Journal of Clinical Pathology;3498
Journal of Mining Institute;3499
Microbial Biotechnology;3500
Pulmonology;3501
Synthesis Lectures on the Semantic Web: Theory and Technology;3502
Advanced Composites and Hybrid Materials;3503
Analytica Chimica Acta;3504
Applied Mathematical Modelling;3505
Current Opinion in Lipidology;3506
Experimental Thermal and Fluid Science;3507
Genes, Brain and Behavior;3508
International Journal of Oncology;3509
International Journal of Tryptophan Research;3510
Orphanet Journal of Rare Diseases;3511
Annals of Thoracic Surgery;3512
Biological Research;3513
JASSS;3514
Journal of Field Archaeology;3515
Meteoritics and Planetary Science;3516
Oil and Gas Geology;3517
Pediatric Infectious Disease Journal;3518
Physiologia Plantarum;3519
Building Simulation;3520
Health Communication;3521
Journal of Chemical Physics;3522
Journal of Physical Chemistry C;3523
Macromolecular Rapid Communications;3524
Neurology: Genetics;3525
Psychopharmacology;3526
Qualitative Research;3527
Sexually Transmitted Diseases;3528
Cambridge Journal of Economics;3529
Emerging topics in life sciences;3530
IEEE Transactions on Cognitive and Developmental Systems;3531
Lifetime Data Analysis;3532
Materials Today Sustainability;3533
Poetics;3534
Boundary-Layer Meteorology;3535
IEEE Power and Energy Magazine;3536
IEEE Transactions on Haptics;3537
Infection Control and Hospital Epidemiology;3538
International Journal of Disaster Risk Science;3539
Minerva Urology and Nephrology;3540
Phytochemistry Reviews;3541
Archives of Toxicology;3542
Disability and Health Journal;3543
Feminist Economics;3544
International Journal of Biological Macromolecules;3545
Cancer Cell International;3546
Journal of Ginseng Research;3547
Molecular Plant-Microbe Interactions;3548
Restoration Ecology;3549
Current Opinion in Critical Care;3550
Integrative and Comparative Biology;3551
International Journal of Psychoanalysis;3552
Journal of Dermatological Science;3553
Clinical Psychology and Psychotherapy;3554
Forum of Mathematics, Sigma;3555
Frontiers in Genetics;3556
International Journal of Disaster Risk Reduction;3557
Internet Interventions;3558
Cognitive Systems Research;3559
Dermatology;3560
International Journal of Computer Integrated Manufacturing;3561
Journal of Accounting and Public Policy;3562
Journal of Nutrition, Health and Aging;3563
Socio-Economic Planning Sciences;3564
Catalysis Today;3565
European Review of Aging and Physical Activity;3566
International Journal of Human Computer Studies;3567
Professional Development in Education;3568
Crime and Delinquency;3569
Diagnostic and interventional imaging;3570
IEEE Transactions on Computational Imaging;3571
Parkinsonism and Related Disorders;3572
Transgender Health;3573
Bulletin of Mathematical Sciences;3574
Drug Delivery;3575
FEMS Microbiology Ecology;3576
Journal of Nutrition;3577
Seminars in Nuclear Medicine;3578
Developmental Child Welfare;3579
Fish and Shellfish Immunology;3580
Journal of Natural Gas Science and Engineering;3581
Virology Journal;3582
Electrochemistry Communications;3583
G3: Genes, Genomes, Genetics;3584
European Journal of Physical and Rehabilitation Medicine;3585
Parasites and Vectors;3586
SIAM Journal on Applied Algebra and Geometry;3587
Catheterization and Cardiovascular Interventions;3588
Intelligence;3589
Journal of Inflammation Research;3590
Language;3591
Journal of Computational Physics: X;3592
Journal of Nephrology;3593
Machine Learning: Science and Technology;3594
World Journal of Pediatrics;3595
Asia-Pacific Journal of Ophthalmology;3596
Bone;3597
Clinica Chimica Acta;3598
Gut and Liver;3599
Health Economics (United Kingdom);3600
Journal of Anthropological Archaeology;3601
Maternal and Child Nutrition;3602
Theoretical and Applied Fracture Mechanics;3603
American Journal of Physical Anthropology;3604
Bulletin of Engineering Geology and the Environment;3605
Fuzzy Optimization and Decision Making;3606
IEEE Transactions on Human-Machine Systems;3607
Journal of the Institute of Mathematics of Jussieu;3608
Open Mind;3609
Respiration;3610
ACM Transactions on Sensor Networks;3611
Best Practice and Research in Clinical Haematology;3612
Discrete Event Dynamic Systems: Theory and Applications;3613
Educational Psychology;3614
Food Control;3615
IEEE Internet Computing;3616
Biology of Reproduction;3617
Clinical Neuropsychiatry;3618
Educational Review;3619
International Journal of Stress Management;3620
Journal of Black Psychology, The;3621
Visual Informatics;3622
Journal of Cellular and Molecular Medicine;3623
Journal of Clinical Anesthesia;3624
Ultrasound Journal;3625
Applied Catalysis A: General;3626
Behavioral Ecology;3627
Journal of Service Theory and Practice;3628
Regional Science and Urban Economics;3629
Advances in Nano Research;3630
Journal of Contemporary Asia;3631
Journal of Genetics and Genomics;3632
Molecular Nutrition and Food Research;3633
Current Infectious Disease Reports;3634
Expert Review of Anti-Infective Therapy;3635
Journal of Research on Technology in Education;3636
Stem Cell Reviews and Reports;3637
Women's Health;3638
Current Opinion in Hematology;3639
Health Policy;3640
Networks and Spatial Economics;3641
Neuroscience Bulletin;3642
Public Personnel Management;3643
AAC: Augmentative and Alternative Communication;3644
Cancer Imaging;3645
Cellular Physiology and Biochemistry;3646
Environmental Technology and Innovation;3647
Journal of Professional Capital and Community;3648
Palaeogeography, Palaeoclimatology, Palaeoecology;3649
Physical Review Physics Education Research;3650
Rheumatology and Therapy;3651
Current Topics in Behavioral Neurosciences;3652
European Journal of Clinical Nutrition;3653
Groundwater for Sustainable Development;3654
Materials and Manufacturing Processes;3655
