Title;Country;Region
Crime and Justice;United States;Northern America
Current Opinion in Physiology;United Kingdom;Western Europe
Environmetrics;United Kingdom;Western Europe
Journal of Vegetation Science;United States;Northern America
Neurobiology of Sleep and Circadian Rhythms;United States;Northern America
Qualitative Inquiry;United States;Northern America
Review of Communication Research;Spain;Western Europe
ERJ Open Research;Switzerland;Western Europe
Feminist Criminology;United Kingdom;Western Europe
Histochemistry and Cell Biology;Germany;Western Europe
Infection and Drug Resistance;New Zealand;Pacific Region
Applied Health Economics and Health Policy;Switzerland;Western Europe
Automated Software Engineering;Netherlands;Western Europe
EFSA Journal;United Kingdom;Western Europe
Journal of ECT;United States;Northern America
Liquid Crystals Reviews;United States;Northern America
Psychological Research;Germany;Western Europe
Crisis;United States;Northern America
International Journal of Oral and Maxillofacial Implants;United States;Northern America
Journal of Brand Management;United Kingdom;Western Europe
Pharmacopsychiatry;Germany;Western Europe
Reproduction;United Kingdom;Western Europe
Comprehensive Results in Social Psychology;United Kingdom;Western Europe
Critical Inquiry in Language Studies;United Kingdom;Western Europe
Emerging Themes in Epidemiology;United Kingdom;Western Europe
European Societies;United Kingdom;Western Europe
International Journal of Coal Science and Technology;Switzerland;Western Europe
Journal of Geriatric Physical Therapy;United States;Northern America
Neuroscience Insights;United Kingdom;Western Europe
Orthopaedics and Traumatology: Surgery and Research;France;Western Europe
Public Health Research and Practice;Australia;Pacific Region
Tijdschrift Voor Economische en Sociale Geografie;United Kingdom;Western Europe
Biofuels, Bioproducts and Biorefining;United Kingdom;Western Europe
Computer;United States;Northern America
Frontiers in Chemistry;Switzerland;Western Europe
Journal of Family Violence;United States;Northern America
Journal of School Violence;United States;Northern America
Acta Oncologica;United Kingdom;Western Europe
Expert Review of Respiratory Medicine;United Kingdom;Western Europe
F1000Research;United Kingdom;Western Europe
Journal of Psychosomatic Research;United States;Northern America
Journal of Symplectic Geometry;United States;Northern America
Physiological Genomics;United States;Northern America
Career Development International;United Kingdom;Western Europe
Dynamic Games and Applications;United States;Northern America
Journal of Geology;United States;Northern America
Magazine of Civil Engineering;Russian Federation;Eastern Europe
Renewable Energy Focus;United Kingdom;Western Europe
Administration and Policy in Mental Health and Mental Health Services Research;United States;Northern America
Current Zoology;United Kingdom;Western Europe
Election Law Journal: Rules, Politics, and Policy;United States;Northern America
Financial Innovation;Germany;Western Europe
International Journal of Mental Health Nursing;United Kingdom;Western Europe
Journal of Immunological Methods;Netherlands;Western Europe
Leading Edge;United States;Northern America
Neuropsychology;United States;Northern America
City, Culture and Society;United Kingdom;Western Europe
Egyptian Journal of Petroleum;Egypt;Africa/Middle East
HIV Medicine;United Kingdom;Western Europe
Journal of Endocrinological Investigation;Switzerland;Western Europe
Journal of Neurologic Physical Therapy;United States;Northern America
Journal of Oral Rehabilitation;United Kingdom;Western Europe
Methodology;United States;Northern America
Molecular Pharmaceutics;United States;Northern America
Seminars in Fetal and Neonatal Medicine;United Kingdom;Western Europe
Synthetic Biology;United Kingdom;Western Europe
ACS Biomaterials Science and Engineering;United States;Northern America
Endangered Species Research;Germany;Western Europe
Fetal Diagnosis and Therapy;Switzerland;Western Europe
Foundations and Trends in Marketing;United States;Northern America
Science and Education;Netherlands;Western Europe
Journal of Evolutionary Biology;United Kingdom;Western Europe
Journal of Internet Commerce;United States;Northern America
Journal of Systematic Palaeontology;United Kingdom;Western Europe
Nutrient Cycling in Agroecosystems;Netherlands;Western Europe
Research in Transportation Business and Management;Netherlands;Western Europe
Syntax;United Kingdom;Western Europe
Tobacco Induced Diseases;United Kingdom;Western Europe
Advances in Anatomic Pathology;United States;Northern America
Basic and Applied Ecology;Germany;Western Europe
Games for health journal;United States;Northern America
Journal of Diabetes;United States;Northern America
Mobilization;United States;Northern America
ACS Applied Electronic Materials;United States;Northern America
Behavioral Sleep Medicine;United States;Northern America
ICES Journal of Marine Science;United Kingdom;Western Europe
Journal of Diabetes Investigation;Australia;Pacific Region
Journal of Perinatology;United Kingdom;Western Europe
Journal of Petroleum Geology;United States;Northern America
Journal of Urban Affairs;United Kingdom;Western Europe
Learning Health Systems;United States;Northern America
Nano Futures;United Kingdom;Western Europe
OpenNano;United States;Northern America
Aggressive Behavior;United States;Northern America
European Journal of Development Research;United Kingdom;Western Europe
Focus on Autism and Other Developmental Disabilities;United States;Northern America
Journal of Movement Disorders;South Korea;Asiatic Region
Archives of Pharmacal Research;South Korea;Asiatic Region
Canadian Journal of Fisheries and Aquatic Sciences;Canada;Northern America
Cold Spring Harbor molecular case studies;United States;Northern America
Community College Review;United States;Northern America
Critical Care Clinics;United Kingdom;Western Europe
European Journal of Pharmacology;Netherlands;Western Europe
Expert Review of Molecular Diagnostics;United Kingdom;Western Europe
Israel Journal of Chemistry;United States;Northern America
Journal of Automated Reasoning;Netherlands;Western Europe
Journal of Competitiveness;Czech Republic;Eastern Europe
Journal of Neural Transmission;Germany;Western Europe
Journal of Pragmatics;Netherlands;Western Europe
Politics and Society;United States;Northern America
Clinical Rehabilitation;United Kingdom;Western Europe
Comparative Migration Studies;Switzerland;Western Europe
Cryptogamie, Mycologie;France;Western Europe
Drug Metabolism and Disposition;United States;Northern America
Electronic Communications in Probability;United States;Northern America
European Journal of Cultural Studies;United Kingdom;Western Europe
Geodinamica Acta;United Kingdom;Western Europe
Journal of Clinical Gastroenterology;United States;Northern America
Online Social Networks and Media;Netherlands;Western Europe
Quaternary Research;United States;Northern America
Scientometrics;Netherlands;Western Europe
Water Resources Management;Netherlands;Western Europe
Annals of Agricultural Sciences;Egypt;Africa/Middle East
Clinical Endocrinology;United Kingdom;Western Europe
Current Sociology;United Kingdom;Western Europe
Inquiry (United States);United States;Northern America
International Journal of Control;United Kingdom;Western Europe
International Journal of Heat and Fluid Flow;Netherlands;Western Europe
Journal of Applied Research in Intellectual Disabilities;United Kingdom;Western Europe
Progress in Organic Coatings;Netherlands;Western Europe
Psychiatric Quarterly;United States;Northern America
Synthetic and Systems Biotechnology;China;Asiatic Region
Tourist Studies;United Kingdom;Western Europe
Expert Review of Clinical Pharmacology;United Kingdom;Western Europe
Gene Therapy;United Kingdom;Western Europe
IEEE Access;United States;Northern America
Journal of Information Technology and Politics;United States;Northern America
Pediatric Pulmonology;United States;Northern America
Thinking and Reasoning;United Kingdom;Western Europe
Zoological Letters;United Kingdom;Western Europe
Bioprinting;Netherlands;Western Europe
Circulation Journal;Japan;Asiatic Region
Current Oncology;Canada;Northern America
Eurasian Geography and Economics;United Kingdom;Western Europe
European Archives of Oto-Rhino-Laryngology;Germany;Western Europe
Health Expectations;United Kingdom;Western Europe
IEEE Sensors Journal;United States;Northern America
Marketing Intelligence and Planning;United Kingdom;Western Europe
Nagoya Mathematical Journal;United Kingdom;Western Europe
Business Ethics;United Kingdom;Western Europe
Colorectal Disease;United Kingdom;Western Europe
Computers and Graphics;United Kingdom;Western Europe
Conservation and Society;India;Asiatic Region
Frontiers in Bioengineering and Biotechnology;Switzerland;Western Europe
Journal of Earthquake Engineering;United Kingdom;Western Europe
Journal of Photochemistry and Photobiology B: Biology;Netherlands;Western Europe
Learning Disabilities Research and Practice;United States;Northern America
Social Policy and Administration;United Kingdom;Western Europe
Stem Cells International;United States;Northern America
Advanced Theory and Simulations;Germany;Western Europe
China Communications;China;Asiatic Region
Hematology. American Society of Hematology. Education Program;United States;Northern America
International Journal of Advanced Manufacturing Technology;United Kingdom;Western Europe
Journal of Space Weather and Space Climate;France;Western Europe
Journal of the Experimental Analysis of Behavior;United States;Northern America
Microporous and Mesoporous Materials;Netherlands;Western Europe
Nuclear Physics B;Netherlands;Western Europe
Protein Journal;United States;Northern America
Tropical Medicine and Infectious Disease;Switzerland;Western Europe
Agroecology and Sustainable Food Systems;United Kingdom;Western Europe
Child Maltreatment;United States;Northern America
Clinical Oral Investigations;Germany;Western Europe
Cytokine;United States;Northern America
Economics and Human Biology;Netherlands;Western Europe
Expert Review of Gastroenterology and Hepatology;United Kingdom;Western Europe
International Journal for Parasitology: Drugs and Drug Resistance;Netherlands;Western Europe
International Journal of Educational Research;United Kingdom;Western Europe
Journal of Environmental Quality;United States;Northern America
Journal of Urban Management;Netherlands;Western Europe
Acta Paediatrica, International Journal of Paediatrics;United States;Northern America
Bulletin of Indonesian Economic Studies;United Kingdom;Western Europe
Communications in Computational Physics;United Kingdom;Western Europe
Eating Disorders;United States;Northern America
International Journal of Molecular Medicine;Greece;Western Europe
Journal of Geographical Sciences;China;Asiatic Region
Language, Speech, and Hearing Services in Schools;United States;Northern America
Microbial Ecology;United States;Northern America
Pharmaceutics;Switzerland;Western Europe
Surface and Coatings Technology;Netherlands;Western Europe
Therapeutic Advances in Endocrinology and Metabolism;United States;Northern America
Cancer Nanotechnology;United States;Northern America
CNS oncology;United Kingdom;Western Europe
Housing Studies;United Kingdom;Western Europe
Journal of Microbiology;South Korea;Asiatic Region
Library and Information Science Research;United Kingdom;Western Europe
Mechanics of Materials;Netherlands;Western Europe
Qualitative Sociology;United States;Northern America
Russian Mathematical Surveys;United Kingdom;Western Europe
Sport, Exercise, and Performance Psychology;United States;Northern America
Advances in Engineering Software;United Kingdom;Western Europe
Experimental Cell Research;United States;Northern America
Expert Opinion on Drug Metabolism and Toxicology;United Kingdom;Western Europe
Journal for the Education of the Gifted;United States;Northern America
Journal of Industrial Economics;United Kingdom;Western Europe
Journal of Institutional Economics;United Kingdom;Western Europe
Mathematika;United Kingdom;Western Europe
Computers in the Schools;United States;Northern America
Environmental Communication;United Kingdom;Western Europe
Journal of Pediatric Gastroenterology and Nutrition;United States;Northern America
Mutation Research - Fundamental and Molecular Mechanisms of Mutagenesis;Netherlands;Western Europe
Review of Symbolic Logic;United Kingdom;Western Europe
Risk Analysis;United Kingdom;Western Europe
Transfusion;United Kingdom;Western Europe
Ultraschall in der Medizin;Germany;Western Europe
Adicciones;Spain;Western Europe
ChemBioChem;Germany;Western Europe
Lipids in Health and Disease;United Kingdom;Western Europe
SLAS Discovery;United States;Northern America
Structural Concrete;United States;Northern America
Territory, Politics, Governance;United States;Northern America
Veterinary Clinics of North America - Food Animal Practice;United Kingdom;Western Europe
Asia Pacific Journal of Human Resources;United States;Northern America
Cannabis and Cannabinoid Research;United States;Northern America
Engineering Failure Analysis;Netherlands;Western Europe
Geographical Journal;United Kingdom;Western Europe
Journal of Early Adolescence;United States;Northern America
Operations Management Research;United States;Northern America
Schizophrenia Research: Cognition;United States;Northern America
BMC Microbiology;United Kingdom;Western Europe
Conservation Physiology;United States;Northern America
Current Cardiology Reports;United States;Northern America
Cyberpsychology;Czech Republic;Eastern Europe
Economic Systems Research;United Kingdom;Western Europe
Japanese Dental Science Review;Netherlands;Western Europe
Journal of Behavior Therapy and Experimental Psychiatry;United Kingdom;Western Europe
Journal of Genetic Counseling;United States;Northern America
Journal of Oncology;United States;Northern America
Journal of Trauma and Dissociation;United States;Northern America
Annali di Matematica Pura ed Applicata;Germany;Western Europe
Esophagus;Japan;Asiatic Region
Insect Molecular Biology;United Kingdom;Western Europe
Materialia;Netherlands;Western Europe
NeuroMolecular Medicine;United States;Northern America
Strahlentherapie und Onkologie;Germany;Western Europe
Archaeological Dialogues;United Kingdom;Western Europe
British Journal of Sociology of Education;United Kingdom;Western Europe
Bulletin of Volcanology;Germany;Western Europe
Journal of Molecular Liquids;Netherlands;Western Europe
Journal of Vascular and Interventional Radiology;United States;Northern America
Psychology of Religion and Spirituality;United States;Northern America
Cytometry Part B - Clinical Cytometry;United States;Northern America
Journal of Ambient Intelligence and Humanized Computing;Germany;Western Europe
Langenbeck's Archives of Surgery;Germany;Western Europe
Leadership and Organization Development Journal;United Kingdom;Western Europe
Local Government Studies;United Kingdom;Western Europe
Marine Ecology - Progress Series;Germany;Western Europe
Optimization Methods and Software;United Kingdom;Western Europe
Progress in Artificial Intelligence;Germany;Western Europe
SIGMOD Record;United States;Northern America
Asian American Journal of Psychology;United States;Northern America
Calcified Tissue International;United States;Northern America
CONTINUUM Lifelong Learning in Neurology;United States;Northern America
Environmental Microbiology Reports;United States;Northern America
Journal of Glaucoma;United States;Northern America
Nitric Oxide - Biology and Chemistry;United States;Northern America
Nous-Supplement: Philosophical Issues;Germany;Western Europe
Preslia;Czech Republic;Eastern Europe
Psychiatric Clinics of North America;United Kingdom;Western Europe
Science of Diabetes Self-Management and Care;United States;Northern America
Tropical Medicine and Health;United Kingdom;Western Europe
Aging clinical and experimental research;Germany;Western Europe
International Journal of Bioprinting;Singapore;Asiatic Region
Journal of Business and Technical Communication;United States;Northern America
Journal of Evidence-Based Medicine;United Kingdom;Western Europe
Muscle and Nerve;United States;Northern America
Open Heart;United Kingdom;Western Europe
Publications of the Astronomical Society of Australia;United Kingdom;Western Europe
Scandinavian Actuarial Journal;United Kingdom;Western Europe
APSIPA Transactions on Signal and Information Processing;United Kingdom;Western Europe
Current Opinion in Biomedical Engineering;Netherlands;Western Europe
Geo-Spatial Information Science;United Kingdom;Western Europe
IEEE/ACM International Conference on Computer-Aided Design, Digest of Technical Papers;United States;Northern America
Intestinal Research;South Korea;Asiatic Region
Journal of Epidemiology and Global Health;France;Western Europe
Journal of Transport and Land Use;United States;Northern America
Language and Communication;United Kingdom;Western Europe
NanoImpact;Netherlands;Western Europe
Nanoscale Research Letters;United States;Northern America
Pesticide Biochemistry and Physiology;United States;Northern America
Chinese Sociological Review;United States;Northern America
Economic and Industrial Democracy;United Kingdom;Western Europe
Journal of Veterinary Cardiology;Netherlands;Western Europe
Wind Energy Science;Germany;Western Europe
Algebraic Combinatorics;France;Western Europe
Current Addiction Reports;Switzerland;Western Europe
Environmental Conservation;United Kingdom;Western Europe
Estuaries and Coasts;United States;Northern America
Flow, Turbulence and Combustion;Netherlands;Western Europe
Frontiers in Integrative Neuroscience;Switzerland;Western Europe
International Journal of Fuzzy Systems;Switzerland;Western Europe
Journal of Interpersonal Violence;United States;Northern America
Neurosurgical Review;Germany;Western Europe
Theoretical and Computational Fluid Dynamics;United States;Northern America
American Journal of Bioethics;United Kingdom;Western Europe
IEEE Multimedia;United States;Northern America
Indian Journal of Medical Research;India;Asiatic Region
Journal of Transport and Health;Netherlands;Western Europe
Proceedings of the Royal Society of Edinburgh Section A: Mathematics;United Kingdom;Western Europe
Social Indicators Research;Netherlands;Western Europe
Bioinorganic Chemistry and Applications;United States;Northern America
International Breastfeeding Journal;United Kingdom;Western Europe
Journal of Communications and Information Networks;China;Asiatic Region
Journal of Psychopathology and Behavioral Assessment;United States;Northern America
Kidney Research and Clinical Practice;South Korea;Asiatic Region
Proteomes;Switzerland;Western Europe
Small Group Research;United States;Northern America
Tribology Letters;United States;Northern America
AoB PLANTS;United Kingdom;Western Europe
Asia-Pacific Journal of Financial Studies;United Kingdom;Western Europe
Clinical Ophthalmology;New Zealand;Pacific Region
Current Genetics;Germany;Western Europe
Human Factors;United States;Northern America
Physica D: Nonlinear Phenomena;Netherlands;Western Europe
Psychology of Men and Masculinity;United States;Northern America
Applied Psycholinguistics;United Kingdom;Western Europe
Biochimica et Biophysica Acta - General Subjects;Netherlands;Western Europe
Endocrine Pathology;United States;Northern America
Genetic Programming and Evolvable Machines;United States;Northern America
International Biodeterioration and Biodegradation;United Kingdom;Western Europe
Journal of Cancer;Australia;Pacific Region
Journal of Marketing Communications;United Kingdom;Western Europe
Mycological Progress;Germany;Western Europe
Public Health Nutrition;United Kingdom;Western Europe
Biology;Switzerland;Western Europe
Hematology/Oncology Clinics of North America;United Kingdom;Western Europe
International Journal of Digital Earth;United Kingdom;Western Europe
Internet Policy Review;Germany;Western Europe
Journal of Prosthodontics;United Kingdom;Western Europe
ACS Applied Polymer Materials;United States;Northern America
BMC Pulmonary Medicine;United Kingdom;Western Europe
Clinical and Experimental Medicine;Italy;Western Europe
Cultural Studies of Science Education;Netherlands;Western Europe
Diabetes Therapy;United States;Northern America
International Journal of Psychophysiology;Netherlands;Western Europe
Multiscale Modeling and Simulation;United States;Northern America
Race and Social Problems;Germany;Western Europe
Tax Policy and the Economy;United States;Northern America
Turkish Journal of Emergency Medicine;Turkey;Middle East
Vascular Health and Risk Management;New Zealand;Pacific Region
Clinical Transplantation;United Kingdom;Western Europe
IEEE Circuits and Systems Magazine;United States;Northern America
International Journal of Integrated Supply Management;United Kingdom;Western Europe
Pathogens;Switzerland;Western Europe
Research Technology Management;United Kingdom;Western Europe
ACI Structural Journal;United States;Northern America
Advanced Engineering Materials;Germany;Western Europe
Geographical Analysis;United States;Northern America
Journal of Education for Students Placed at Risk;United Kingdom;Western Europe
Journal of the Medical Library Association : JMLA;United States;Northern America
Mycologia;United Kingdom;Western Europe
Smart Learning Environments;United Kingdom;Western Europe
Studies in Applied Mathematics;United Kingdom;Western Europe
Translational Vision Science and Technology;United States;Northern America
European Sport Management Quarterly;United Kingdom;Western Europe
JARO - Journal of the Association for Research in Otolaryngology;United States;Northern America
Physical Chemistry Chemical Physics;United Kingdom;Western Europe
School Mental Health;United States;Northern America
Translational Behavioral Medicine;United States;Northern America
American Journal of Distance Education;United States;Northern America
Case Studies in Thermal Engineering;United Kingdom;Western Europe
Comparative Education Review;United States;Northern America
Journal of Diabetes Research;Egypt;Africa/Middle East
Journal of Spectral Theory;Germany;Western Europe
Kinetic and Related Models;United States;Northern America
Quarterly Journal of Experimental Psychology;United Kingdom;Western Europe
RILEM Technical Letters;France;Western Europe
Aerosol and Air Quality Research;Taiwan;Asiatic Region
Applied Vegetation Science;United States;Northern America
Current protocols in mouse biology;United States;Northern America
Journal of Cardiovascular Development and Disease;Switzerland;Western Europe
Media and Communication;Portugal;Western Europe
Noise Mapping;Germany;Western Europe
Soft Matter;United Kingdom;Western Europe
World Medical and Health Policy;United States;Northern America
Chinese Physics C;United Kingdom;Western Europe
Patient;United States;Northern America
Petroleum Science;China;Asiatic Region
International Journal for Numerical Methods in Fluids;United Kingdom;Western Europe
Journal of High Energy Physics;Germany;Western Europe
Journal of integrative bioinformatics;Germany;Western Europe
Optimization;United Kingdom;Western Europe
Research in Autism Spectrum Disorders;Netherlands;Western Europe
Teaching and Learning in Medicine;United States;Northern America
Ultrasonics;Netherlands;Western Europe
Archives of Orthopaedic and Trauma Surgery;Germany;Western Europe
Benchmarking;United Kingdom;Western Europe
Botanical Journal of the Linnean Society;United Kingdom;Western Europe
Ecosystem Health and Sustainability;United Kingdom;Western Europe
Energy Reports;United Kingdom;Western Europe
Epigenomics;United Kingdom;Western Europe
Forensic Sciences Research;United Kingdom;Western Europe
Health literacy research and practice;United States;Northern America
Journal of Digital Learning in Teacher Education;United Kingdom;Western Europe
Journal of Higher Education Policy and Management;United Kingdom;Western Europe
Mobilities;United Kingdom;Western Europe
Polymer Degradation and Stability;United Kingdom;Western Europe
Sports;Switzerland;Western Europe
Tianranqi Gongye/Natural Gas Industry;China;Asiatic Region
Universal Access in the Information Society;Germany;Western Europe
Air Quality, Atmosphere and Health;Netherlands;Western Europe
Analysis;United Kingdom;Western Europe
Food Bioscience;United Kingdom;Western Europe
Immunology and Allergy Clinics of North America;United Kingdom;Western Europe
International Journal of Naval Architecture and Ocean Engineering;South Korea;Asiatic Region
International Journal of Paediatric Dentistry;United Kingdom;Western Europe
IUBMB Life;United States;Northern America
Journal of Community Health;Netherlands;Western Europe
Neurocritical Care;United States;Northern America
Annals of Physical and Rehabilitation Medicine;France;Western Europe
Blood Transfusion;Italy;Western Europe
European Journal of Applied Physiology;Germany;Western Europe
International Journal of Sport and Exercise Psychology;United Kingdom;Western Europe
Journal of Geodynamics;United Kingdom;Western Europe
Nutrition;United States;Northern America
Archaeological Research in Asia;Netherlands;Western Europe
Archives of Dermatological Research;Germany;Western Europe
Atmospheric Pollution Research;Netherlands;Western Europe
Journal of Hydrodynamics;China;Asiatic Region
Journal of the Academy of Nutrition and Dietetics;United States;Northern America
One Ecosystem;Bulgaria;Eastern Europe
Personnel Review;United Kingdom;Western Europe
Philosophy Compass;United Kingdom;Western Europe
Physica A: Statistical Mechanics and its Applications;Netherlands;Western Europe
Proceedings of the American Mathematical Society;United States;Northern America
Progress in Natural Science: Materials International;Netherlands;Western Europe
Regenerative Biomaterials;United Kingdom;Western Europe
Behavioural Brain Research;Netherlands;Western Europe
Comments on Inorganic Chemistry;United Kingdom;Western Europe
Epijournal de Geometrie Algebrique;France;Western Europe
Journal of Aging and Health;United States;Northern America
Journal of Gastrointestinal Surgery;United States;Northern America
Macromolecular Bioscience;Germany;Western Europe
Nutrition Journal;United Kingdom;Western Europe
Progress in Physical Geography;United Kingdom;Western Europe
Scandinavian Journal of Economics;United Kingdom;Western Europe
Smart Materials and Structures;United Kingdom;Western Europe
Annual Plant Reviews Online;United States;Northern America
Behavioral and Brain Functions;United Kingdom;Western Europe
Digestion;Switzerland;Western Europe
Games and Culture;United States;Northern America
Language, Culture and Curriculum;United Kingdom;Western Europe
Petroleum Exploration and Development;Netherlands;Western Europe
Physics and Imaging in Radiation Oncology;Ireland;Western Europe
Sexual Health;Australia;Pacific Region
Asia Pacific Journal of Tourism Research;United Kingdom;Western Europe
Brain and Language;United States;Northern America
Cancer Biology and Therapy;United States;Northern America
Discrete Mathematics;Netherlands;Western Europe
GSA Today;United States;Northern America
Review Journal of Autism and Developmental Disorders;United States;Northern America
Ceramics International;United Kingdom;Western Europe
Creativity and Innovation Management;United Kingdom;Western Europe
Current Problems in Cancer;United States;Northern America
Demographic Research;Germany;Western Europe
Environmental Toxicology and Chemistry;United States;Northern America
IEEE Transactions on Dielectrics and Electrical Insulation;United States;Northern America
JMIR Aging;Canada;Northern America
Journal of Language, Identity and Education;United Kingdom;Western Europe
Journal of Mammalian Evolution;United States;Northern America
Political Science Quarterly;United States;Northern America
American Journal of Chinese Medicine;Singapore;Asiatic Region
BMC Rheumatology;United Kingdom;Western Europe
International Journal of Bank Marketing;United Kingdom;Western Europe
Journal of Community and Applied Social Psychology;United Kingdom;Western Europe
Journal of Real Estate Finance and Economics;Netherlands;Western Europe
Management Review Quarterly;Germany;Western Europe
Urban Review;Netherlands;Western Europe
CMAJ open;Canada;Northern America
Environmental Geochemistry and Health;Netherlands;Western Europe
Gastroenterology and Hepatology;United States;Northern America
Prostaglandins Leukotrienes and Essential Fatty Acids;United States;Northern America
SPE Reservoir Evaluation and Engineering;United States;Northern America
ACM Transactions on Reconfigurable Technology and Systems;United States;Northern America
Artificial Cells, Nanomedicine and Biotechnology;United States;Northern America
Depression Research and Treatment;Egypt;Africa/Middle East
Human Performance;United States;Northern America
IEEE Journal of Electromagnetics, RF and Microwaves in Medicine and Biology;United States;Northern America
Journal of Cryptology;United States;Northern America
Journal of Marketing Theory and Practice;United Kingdom;Western Europe
Journal of the Neurological Sciences;Netherlands;Western Europe
Langmuir;United States;Northern America
Linear Algebra and Its Applications;United States;Northern America
Toxins;Switzerland;Western Europe
Acta Politica;United Kingdom;Western Europe
Biotechnology and Bioengineering;Germany;Western Europe
Breast Cancer;Japan;Asiatic Region
Fungal Genetics and Biology;United States;Northern America
International Journal of Legal Medicine;Germany;Western Europe
Journal of Atmospheric and Oceanic Technology;United States;Northern America
Natural Resources Research;United States;Northern America
Psychosocial Intervention;Spain;Western Europe
Research on Aging;United States;Northern America
Research Studies in Music Education;United Kingdom;Western Europe
Service Business;Germany;Western Europe
Brazilian Journal of Physical Therapy;Brazil;Latin America
Colloids and Surfaces B: Biointerfaces;Netherlands;Western Europe
Expert Opinion on Drug Safety;United Kingdom;Western Europe
IEEE Transactions on Engineering Management;United States;Northern America
International Studies Review;United States;Northern America
LEUKOS - Journal of Illuminating Engineering Society of North America;United Kingdom;Western Europe
Physical Therapy;United States;Northern America
Alzheimer Disease and Associated Disorders;United States;Northern America
Brain Research Bulletin;United States;Northern America
Curriculum Journal;United Kingdom;Western Europe
Island Arc;United Kingdom;Western Europe
Journal of Health Communication;United Kingdom;Western Europe
Journal of Medical Ethics;United Kingdom;Western Europe
Journal of Regional Science;United Kingdom;Western Europe
Journal of the Operational Research Society;United Kingdom;Western Europe
Radiologia Medica;Italy;Western Europe
Substance Abuse;United States;Northern America
Youth and Society;United States;Northern America
Bioresources and Bioprocessing;Germany;Western Europe
Clinical Medicine Insights: Endocrinology and Diabetes;United Kingdom;Western Europe
Geothermal Energy;United States;Northern America
IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control;United States;Northern America
Journal of Mathematical Biology;Germany;Western Europe
Journal of Scheduling;United States;Northern America
Nuclear Engineering and Design;Netherlands;Western Europe
Recent Patents on Inflammation and Allergy Drug Discovery;United Arab Emirates;Middle East
Soft Computing;Germany;Western Europe
Advances in Applied Microbiology;United States;Northern America
Algal Research;Netherlands;Western Europe
American Journal of Medicine;United States;Northern America
Drug Testing and Analysis;United Kingdom;Western Europe
General Relativity and Gravitation;United States;Northern America
International Journal of Numerical Analysis and Modeling;Canada;Northern America
Journal of Medical Imaging;United States;Northern America
Advanced Modeling and Simulation in Engineering Sciences;United Kingdom;Western Europe
Fisheries Oceanography;United Kingdom;Western Europe
Journal of Biochemistry;United Kingdom;Western Europe
Journal of Intelligence;Switzerland;Western Europe
Pituitary;Netherlands;Western Europe
Tourism Recreation Research;United Kingdom;Western Europe
Biochimie;Netherlands;Western Europe
BioControl;Netherlands;Western Europe
Clinical Journal of Pain;United States;Northern America
Current Tropical Medicine Reports;Switzerland;Western Europe
Epilepsy and Behavior;United States;Northern America
Kidney Medicine;United States;Northern America
Annals of Nuclear Energy;United Kingdom;Western Europe
Estuarine, Coastal and Shelf Science;United States;Northern America
European Journal of Psychological Assessment;United States;Northern America
International Journal of Mobile Learning and Organisation;Switzerland;Western Europe
Journal of Clinical Hypertension;United States;Northern America
Journal of Computational and Applied Mathematics;Netherlands;Western Europe
Journal of Creative Behavior;United States;Northern America
Journal of Functional Biomaterials;Switzerland;Western Europe
Journal of Sandwich Structures and Materials;United Kingdom;Western Europe
Journal of Time Series Analysis;United States;Northern America
Naval Research Logistics;United States;Northern America
Acta Neurologica Scandinavica;United Kingdom;Western Europe
Batteries;Switzerland;Western Europe
Biomedicines;Switzerland;Western Europe
BMC Developmental Biology;United Kingdom;Western Europe
Cardiovascular Intervention and Therapeutics;Germany;Western Europe
Discourse Processes;United Kingdom;Western Europe
Education for Information;Netherlands;Western Europe
European Management Review;United States;Northern America
Frontiers in Neurorobotics;Switzerland;Western Europe
Journal of Cybersecurity;United Kingdom;Western Europe
World Journal of Surgery;United States;Northern America
Analyst, The;United Kingdom;Western Europe
Biological Control;United States;Northern America
British Journal of General Practice;United Kingdom;Western Europe
Canadian Journal of Diabetes;United States;Northern America
Clinical Rheumatology;United Kingdom;Western Europe
Endocrine;United States;Northern America
European Journal of Health Economics;Germany;Western Europe
Frontiers in Psychology;Switzerland;Western Europe
IEEE Transactions on Nanobioscience;United States;Northern America
International Journal for Academic Development;United States;Northern America
International Journal of Remote Sensing;United Kingdom;Western Europe
Macroeconomic Dynamics;United Kingdom;Western Europe
Papers in Regional Science;United States;Northern America
Peptides;United States;Northern America
ACS Medicinal Chemistry Letters;United States;Northern America
Annals of Pure and Applied Logic;Netherlands;Western Europe
IEEE International Symposium on Information Theory - Proceedings;United States;Northern America
Journal of Biomedical Optics;United States;Northern America
Journal of Electronic Commerce Research;United States;Northern America
Journal of Geophysical Research: Space Physics;United States;Northern America
Psychology, Public Policy, and Law;United States;Northern America
Quaternary International;United Kingdom;Western Europe
Archaeometry;United Kingdom;Western Europe
Asia-Pacific Journal of Teacher Education;United Kingdom;Western Europe
BMC psychology;United Kingdom;Western Europe
China Quarterly;United Kingdom;Western Europe
IEEE Solid-State Circuits Magazine;United States;Northern America
International Journal of Concrete Structures and Materials;United States;Northern America
International Journal of Pavement Engineering;United Kingdom;Western Europe
Japanese Journal of Ophthalmology;Japan;Asiatic Region
Peritoneal Dialysis International;Canada;Northern America
American Journal of Surgery;United States;Northern America
