Title;Categories
British Journal of Educational Technology;"Education (Q1); E-learning (Q1)"
Climate of the Past;"Global and Planetary Change (Q1); Paleontology (Q1); Stratigraphy (Q1)"
Journal of Advanced Research;Multidisciplinary (Q1)
Multiple Sclerosis Journal;"Neurology (Q1); Neurology (clinical) (Q1)"
Journal of Archaeological Research;"Archeology (Q1); Archeology (arts and humanities) (Q1); Arts and Humanities (miscellaneous) (Q1)"
Psychometrika;"Applied Mathematics (Q1); Psychology (miscellaneous) (Q1)"
Foundations of Computational Mathematics;"Analysis (Q1); Applied Mathematics (Q1); Computational Mathematics (Q1); Computational Theory and Mathematics (Q1)"
IEEE Transactions on Automation Science and Engineering;"Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)"
Alzheimer's and Dementia: Diagnosis, Assessment and Disease Monitoring;"Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)"
Biology and Fertility of Soils;"Agronomy and Crop Science (Q1); Microbiology (Q1); Soil Science (Q1)"
American Journal of Agricultural Economics;"Agricultural and Biological Sciences (miscellaneous) (Q1); Economics and Econometrics (Q1)"
International Journal of Biological Sciences;"Applied Microbiology and Biotechnology (Q1); Cell Biology (Q1); Developmental Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Molecular Biology (Q1)"
Advanced Quantum Technologies;"Computational Theory and Mathematics (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Mathematical Physics (Q1); Nuclear and High Energy Physics (Q1); Statistical and Nonlinear Physics (Q1)"
Virtual and Physical Prototyping;"Computer Graphics and Computer-Aided Design (Q1); Industrial and Manufacturing Engineering (Q1); Modeling and Simulation (Q1); Signal Processing (Q1)"
Geophysical Research Letters;"Earth and Planetary Sciences (miscellaneous) (Q1); Geophysics (Q1)"
Computers and Operations Research;"Computer Science (miscellaneous) (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1)"
Journal of the Mechanics and Physics of Solids;"Condensed Matter Physics (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
Information Processing and Management;"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Management Science and Operations Research (Q1); Media Technology (Q1)"
Journal of Transport Geography;"Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1); Transportation (Q1)"
Structural Control and Health Monitoring;"Building and Construction (Q1); Civil and Structural Engineering (Q1); Mechanics of Materials (Q1)"
Review of Public Personnel Administration;"Organizational Behavior and Human Resource Management (Q1); Public Administration (Q1)"
Decision Making: Applications in Management and Engineering;Decision Sciences (miscellaneous) (Q1)
Molecular Therapy - Nucleic Acids;"Drug Discovery (Q1); Molecular Medicine (Q1)"
Human Genetics;"Genetics (Q1); Genetics (clinical) (Q1)"
Translational Neurodegeneration;"Cellular and Molecular Neuroscience (Q1); Cognitive Neuroscience (Q1); Neurology (clinical) (Q1)"
Weather and Climate Extremes;"Atmospheric Science (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1)"
Chinese Journal of Catalysis;"Catalysis (Q1); Chemistry (miscellaneous) (Q1)"
Communications in Partial Differential Equations;"Analysis (Q1); Applied Mathematics (Q1)"
International Journal of Applied Earth Observation and Geoinformation;"Computers in Earth Sciences (Q1); Earth-Surface Processes (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1)"
China Petroleum Exploration;"Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Geochemistry and Petrology (Q1); Geology (Q1); Geotechnical Engineering and Engineering Geology (Q1)"
Ophthalmology Retina;Ophthalmology (Q1)
International Journal of Stroke;Neurology (Q1)
Computer Assisted Language Learning;"Computer Science Applications (Q1); Linguistics and Language (Q1)"
Nature Reviews Urology;Urology (Q1)
Wiley Interdisciplinary Reviews: Water;"Aquatic Science (Q1); Ecology (Q1); Management, Monitoring, Policy and Law (Q1); Ocean Engineering (Q1); Oceanography (Q1); Water Science and Technology (Q1)"
Current Issues in Tourism;"Geography, Planning and Development (Q1); Tourism, Leisure and Hospitality Management (Q1)"
Proceedings of the London Mathematical Society;Mathematics (miscellaneous) (Q1)
Archives of Disease in Childhood: Fetal and Neonatal Edition;"Medicine (miscellaneous) (Q1); Obstetrics and Gynecology (Q1); Pediatrics, Perinatology and Child Health (Q1)"
Classroom Discourse;"Education (Q1); Linguistics and Language (Q1)"
Journal of the American Planning Association;"Development (Q1); Geography, Planning and Development (Q1); Urban Studies (Q1)"
Science China Chemistry;Chemistry (miscellaneous) (Q1)
Diabetes and Metabolism;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1); Medicine (miscellaneous) (Q1)"
ACS Sensors;"Bioengineering (Q1); Fluid Flow and Transfer Processes (Q1); Instrumentation (Q1); Process Chemistry and Technology (Q1)"
American Journal of Clinical Nutrition;"Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)"
International Review of Financial Analysis;"Economics and Econometrics (Q1); Finance (Q1)"
Antioxidants and Redox Signaling;"Biochemistry (Q1); Cell Biology (Q1); Clinical Biochemistry (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Physiology (Q1)"
Quarterly Reviews of Biophysics;Biophysics (Q1)
American Journal of Epidemiology;Epidemiology (Q1)
European Journal of Immunology;"Immunology (Q1); Immunology and Allergy (Q1)"
Journal of Second Language Writing;"Education (Q1); Linguistics and Language (Q1)"
Molecular Cancer Therapeutics;"Cancer Research (Q1); Oncology (Q1)"
Trends in Environmental Analytical Chemistry;"Analytical Chemistry (Q1); Environmental Chemistry (Q1)"
Precambrian Research;"Geochemistry and Petrology (Q1); Geology (Q1)"
Arthroscopy - Journal of Arthroscopic and Related Surgery;"Orthopedics and Sports Medicine (Q1); Sports Science (Q1)"
One Earth;"Earth and Planetary Sciences (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1)"
Public Relations Review;"Communication (Q1); Marketing (Q1); Organizational Behavior and Human Resource Management (Q1)"
Sociology;Sociology and Political Science (Q1)
Educational and Psychological Measurement;"Applied Mathematics (Q1); Applied Psychology (Q1); Developmental and Educational Psychology (Q1); Education (Q1); Psychology (miscellaneous) (Q1)"
Emotion;"Medicine (miscellaneous) (Q1); Psychology (miscellaneous) (Q1)"
Journal of Experimental Social Psychology;"Social Psychology (Q1); Sociology and Political Science (Q1)"
Reliability Engineering and System Safety;"Applied Mathematics (Q1); Industrial and Manufacturing Engineering (Q1); Safety, Risk, Reliability and Quality (Q1)"
Osteoarthritis and Cartilage;"Biomedical Engineering (Q1); Orthopedics and Sports Medicine (Q1); Rheumatology (Q1)"
Prenatal Diagnosis;"Genetics (clinical) (Q1); Obstetrics and Gynecology (Q1)"
Journal of Education Policy;Education (Q1)
Current Opinion in Electrochemistry;"Analytical Chemistry (Q1); Electrochemistry (Q1)"
International Small Business Journal;Business and International Management (Q1)
Journal of Functional Analysis;Analysis (Q1)
Molecular Therapy - Methods and Clinical Development;"Genetics (Q1); Molecular Biology (Q1); Molecular Medicine (Q1)"
Critical Reviews in Clinical Laboratory Sciences;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Biochemistry (medical) (Q1); Clinical Biochemistry (Q1)"
International Journal of STEM Education;Education (Q1)
Journal of Cystic Fibrosis;"Pediatrics, Perinatology and Child Health (Q1); Pulmonary and Respiratory Medicine (Q1)"
Journal of Planning Literature;Geography, Planning and Development (Q1)
Journal of Lipid Research;"Biochemistry (Q1); Cell Biology (Q1); Endocrinology (Q1)"
Research and Practice in Thrombosis and Haemostasis;Hematology (Q1)
IEEE Transactions on Broadcasting;"Electrical and Electronic Engineering (Q1); Media Technology (Q1)"
Earth System Dynamics;Earth and Planetary Sciences (miscellaneous) (Q1)
Journal of Molecular Cell Biology;"Cell Biology (Q1); Genetics (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)"
Journals of the Atmospheric Sciences;Atmospheric Science (Q1)
Contributions to Mineralogy and Petrology;"Geochemistry and Petrology (Q1); Geophysics (Q1)"
Digital Communications and Networks;"Communication (Q1); Computer Networks and Communications (Q1); Hardware and Architecture (Q1)"
Journal of Interactive Advertising;"Communication (Q1); Marketing (Q1)"
Oncologist;"Cancer Research (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)"
Respiratory Research;Pulmonary and Respiratory Medicine (Q1)
Social Media and Society;"Communication (Q1); Computer Science Applications (Q1); Cultural Studies (Q1)"
Journal of Controlled Release;Pharmaceutical Science (Q1)
Journal of Environmental Psychology;"Applied Psychology (Q1); Social Psychology (Q1)"
Science of the Total Environment;"Environmental Chemistry (Q1); Environmental Engineering (Q1); Pollution (Q1); Waste Management and Disposal (Q1)"
Social Science and Medicine;"Health (social science) (Q1); History and Philosophy of Science (Q1); Medicine (miscellaneous) (Q1)"
Soil and Tillage Research;"Agronomy and Crop Science (Q1); Earth-Surface Processes (Q1); Soil Science (Q1)"
Cephalalgia;"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)"
Geotextiles and Geomembranes;"Civil and Structural Engineering (Q1); Geotechnical Engineering and Engineering Geology (Q1); Materials Science (miscellaneous) (Q1)"
Molecular Cancer Research;"Cancer Research (Q1); Molecular Biology (Q1); Oncology (Q1)"
Mathematics of Operations Research;"Computer Science Applications (Q1); Management Science and Operations Research (Q1); Mathematics (miscellaneous) (Q1)"
Journalism;"Arts and Humanities (miscellaneous) (Q1); Communication (Q1)"
Materials and Design;"Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
Stroke and Vascular Neurology;"Cardiology and Cardiovascular Medicine (Q1); Neurology (clinical) (Q1)"
British Journal of Ophthalmology;"Cellular and Molecular Neuroscience (Q1); Ophthalmology (Q1); Sensory Systems (Q1)"
Journal of Economic Surveys;Economics and Econometrics (Q1)
Synthesis Lectures on Image, Video, and Multimedia Processing;"Atomic and Molecular Physics, and Optics (Q1); Computer Graphics and Computer-Aided Design (Q1); Electrical and Electronic Engineering (Q1); Signal Processing (Q1)"
Annals of Applied Probability;"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
IEEE Journal of Biomedical and Health Informatics;"Biotechnology (Q1); Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1); Health Information Management (Q1)"
Journal of Vascular Surgery;"Cardiology and Cardiovascular Medicine (Q1); Surgery (Q1)"
Journal of Virus Eradication;"Epidemiology (Q1); Immunology (Q1); Infectious Diseases (Q1); Public Health, Environmental and Occupational Health (Q1); Virology (Q2)"
Journal of Combinatorial Theory. Series B;"Computational Theory and Mathematics (Q1); Discrete Mathematics and Combinatorics (Q1); Theoretical Computer Science (Q1)"
Cancer and Metastasis Reviews;"Cancer Research (Q1); Oncology (Q1)"
Journal of Geophysical Research D: Atmospheres;"Atmospheric Science (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Geophysics (Q1); Space and Planetary Science (Q1)"
Journal of Money, Credit and Banking;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
Service Industries Journal;"Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
Sustainability: Science, Practice, and Policy;"Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1)"
Race Ethnicity and Education;"Cultural Studies (Q1); Demography (Q1); Education (Q1)"
Journal of Materials Science and Technology;"Ceramics and Composites (Q1); Materials Chemistry (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Metals and Alloys (Q1); Polymers and Plastics (Q1)"
GeroScience;"Aging (Q1); Cardiology and Cardiovascular Medicine (Q1); Complementary and Alternative Medicine (Q1); Geriatrics and Gerontology (Q1); Veterinary (miscellaneous) (Q1)"
Mathematische Annalen;Mathematics (miscellaneous) (Q1)
Analytical Chemistry;Analytical Chemistry (Q1)
Applied Mechanics Reviews;Mechanical Engineering (Q1)
International Journal of Social Psychiatry;"Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
Journal of Affective Disorders;"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)"
Computational Complexity;"Computational Mathematics (Q1); Computational Theory and Mathematics (Q1); Mathematics (miscellaneous) (Q1); Theoretical Computer Science (Q1)"
Environmental Politics;"Environmental Science (miscellaneous) (Q1); Sociology and Political Science (Q1)"
Epidemics;"Epidemiology (Q1); Infectious Diseases (Q1); Microbiology (Q1); Parasitology (Q1); Public Health, Environmental and Occupational Health (Q1); Virology (Q2)"
Journal of Dental Research;Dentistry (miscellaneous) (Q1)
Clinical Chemistry;"Biochemistry (medical) (Q1); Clinical Biochemistry (Q1); Medicine (miscellaneous) (Q1)"
Progress in Planning;Geography, Planning and Development (Q1)
Trends in Cardiovascular Medicine;Cardiology and Cardiovascular Medicine (Q1)
Journal of Memory and Language;"Artificial Intelligence (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1)"
ACM Transactions on Algorithms;Mathematics (miscellaneous) (Q1)
Hydrology and Earth System Sciences;"Earth and Planetary Sciences (miscellaneous) (Q1); Water Science and Technology (Q1)"
Review of International Organizations;"Economics and Econometrics (Q1); Organizational Behavior and Human Resource Management (Q1); Political Science and International Relations (Q1)"
Water Resources Research;Water Science and Technology (Q1)
Political Research Quarterly;Sociology and Political Science (Q1)
Diabetes/Metabolism Research and Reviews;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)"
Geoscience Frontiers;Earth and Planetary Sciences (miscellaneous) (Q1)
Journal of Cognition;Experimental and Cognitive Psychology (Q1)
Reviews in Endocrine and Metabolic Disorders;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)"
Ecological Economics;"Economics and Econometrics (Q1); Environmental Science (miscellaneous) (Q1)"
Auditing;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
Construction and Building Materials;"Building and Construction (Q1); Civil and Structural Engineering (Q1); Materials Science (miscellaneous) (Q1)"
Crime Science;"Cultural Studies (Q1); Law (Q1); Safety Research (Q1); Urban Studies (Q1)"
Human-centric Computing and Information Sciences;Computer Science (miscellaneous) (Q1)
TESOL Quarterly;"Education (Q1); Linguistics and Language (Q1)"
Wellcome Open Research;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
Brain Pathology;"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1)"
Computers and Industrial Engineering;"Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1)"
Sustainability Science;"Ecology (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Health (social science) (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1); Sociology and Political Science (Q1)"
Advanced Electronic Materials;Electronic, Optical and Magnetic Materials (Q1)
Cognition;"Cognitive Neuroscience (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1)"
JNCI Cancer Spectrum;"Cancer Research (Q1); Oncology (Q1)"
Journal of Geophysical Research: Solid Earth;"Earth and Planetary Sciences (miscellaneous) (Q1); Geochemistry and Petrology (Q1); Geophysics (Q1); Space and Planetary Science (Q1)"
Molecular Oncology;"Cancer Research (Q1); Genetics (Q1); Medicine (miscellaneous) (Q1); Molecular Medicine (Q1); Oncology (Q1)"
Clinical Research in Cardiology;"Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1)"
Clinical and Translational Immunology;"Immunology (Q1); Immunology and Allergy (Q1); Nursing (miscellaneous) (Q1)"
Journal of Membrane Science;"Biochemistry (Q1); Filtration and Separation (Q1); Materials Science (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1)"
Materials Today Advances;"Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1)"
Annals of the American Thoracic Society;Pulmonary and Respiratory Medicine (Q1)
Infectious Diseases of Poverty;"Infectious Diseases (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
Organization;"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
Climate Dynamics;Atmospheric Science (Q1)
Human Mutation;"Genetics (Q1); Genetics (clinical) (Q1)"
Entrepreneurship and Regional Development;"Business and International Management (Q1); Development (Q1); Economics and Econometrics (Q1)"
Journal of Medical Genetics;"Genetics (Q1); Genetics (clinical) (Q1)"
Water Research X;"Ecological Modeling (Q1); Pollution (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)"
Bernoulli;Statistics and Probability (Q1)
Journalism Studies;Communication (Q1)
Transactions of the Institute of British Geographers;"Earth-Surface Processes (Q1); Geography, Planning and Development (Q1)"
European Journal of Endocrinology;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Medicine (miscellaneous) (Q1)"
Oncogenesis;"Cancer Research (Q1); Molecular Biology (Q1)"
European Journal of Communication;"Communication (Q1); Linguistics and Language (Q1)"
Academy of Management Learning and Education;"Education (Q1); Organizational Behavior and Human Resource Management (Q1)"
Tourism Management Perspectives;Tourism, Leisure and Hospitality Management (Q1)
Composites Science and Technology;"Ceramics and Composites (Q1); Engineering (miscellaneous) (Q1)"
Giant;"Chemistry (miscellaneous) (Q1); Materials Chemistry (Q1); Polymers and Plastics (Q1); Surfaces, Coatings and Films (Q1)"
Journal of Health and Social Behavior;"Public Health, Environmental and Occupational Health (Q1); Social Psychology (Q1)"
Hepatology Communications;Hepatology (Q1)
Journal of World Prehistory;"Archeology (Q1); Archeology (arts and humanities) (Q1); Arts and Humanities (miscellaneous) (Q1)"
Studies in Second Language Learning and Teaching;"Education (Q1); Linguistics and Language (Q1)"
Transportation;"Civil and Structural Engineering (Q1); Development (Q1); Transportation (Q1)"
Trends in Parasitology;"Infectious Diseases (Q1); Parasitology (Q1)"
Journal of Destination Marketing and Management;"Business and International Management (Q1); Marketing (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1)"
Materials Today Energy;"Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Materials Science (miscellaneous) (Q1); Nuclear Energy and Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
Meteorological Monographs;"Atmospheric Science (Q1); Oceanography (Q1)"
American journal of obstetrics & gynecology MFM;Medicine (miscellaneous) (Q1)
IEEE Transactions on Visualization and Computer Graphics;"Computer Graphics and Computer-Aided Design (Q1); Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Software (Q1)"
Systems and Control Letters;"Computer Science (miscellaneous) (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Mechanical Engineering (Q1)"
Language Testing;"Linguistics and Language (Q1); Social Sciences (miscellaneous) (Q1)"
Age and Ageing;"Aging (Q1); Geriatrics and Gerontology (Q1); Medicine (miscellaneous) (Q1)"
Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics;Nuclear and High Energy Physics (Q1)
Critical Reviews in Food Science and Nutrition;"Food Science (Q1); Industrial and Manufacturing Engineering (Q1); Medicine (miscellaneous) (Q1)"
Ecosystem Services;"Agricultural and Biological Sciences (miscellaneous) (Q1); Ecology (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1)"
IEEE Transactions on Biomedical Circuits and Systems;"Biomedical Engineering (Q1); Electrical and Electronic Engineering (Q1)"
Journal of Microbiology, Immunology and Infection;"Immunology and Allergy (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Medicine (miscellaneous) (Q1); Microbiology (medical) (Q1)"
Epidemiology and Psychiatric Sciences;"Epidemiology (Q1); Psychiatry and Mental Health (Q1); Public Health, Environmental and Occupational Health (Q1)"
Journal of Numerical Mathematics;"Computational Mathematics (Q1); Numerical Analysis (Q1)"
Large-Scale Assessments in Education;Education (Q1)
Journal of Clinical Endocrinology and Metabolism;"Biochemistry (Q1); Biochemistry (medical) (Q1); Clinical Biochemistry (Q1); Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Medicine (miscellaneous) (Q1)"
Journalism and Mass Communication Quarterly;Communication (Q1)
Proteins: Structure, Function and Bioinformatics;"Biochemistry (Q1); Molecular Biology (Q1); Structural Biology (Q1)"
Thrombosis and Haemostasis;Hematology (Q1)
Nanoscale;"Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
ACS Sustainable Chemistry and Engineering;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
Journal of Knowledge Management;"Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
Clinical Epigenetics;"Developmental Biology (Q1); Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
Numerische Mathematik;"Applied Mathematics (Q1); Computational Mathematics (Q1)"
Gastric Cancer;"Cancer Research (Q1); Gastroenterology (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)"
International Journal of Advertising;"Communication (Q1); Marketing (Q1)"
Waste Management;Waste Management and Disposal (Q1)
Economic Geology;"Economic Geology (Q1); Geochemistry and Petrology (Q1); Geology (Q1); Geophysics (Q1)"
Media Psychology;"Applied Psychology (Q1); Communication (Q1); Social Psychology (Q1)"
Pharmacological Research;Pharmacology (Q1)
Transcription;"Biochemistry (Q1); Biotechnology (Q1); Genetics (Q1)"
Exceptional Children;"Developmental and Educational Psychology (Q1); Education (Q1)"
Journal of Medical Internet Research;Health Informatics (Q1)
World Journal of Emergency Surgery;"Emergency Medicine (Q1); Surgery (Q1)"
Industrial and Corporate Change;Economics and Econometrics (Q1)
Biosafety and Health;"Biotechnology (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1); Public Health, Environmental and Occupational Health (Q1)"
Engineering Applications of Artificial Intelligence;"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)"
Environmental DNA;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
World Politics;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
Current Protocols in Molecular Biology;"Medicine (miscellaneous) (Q1); Molecular Biology (Q1)"
Human Communication Research;"Anthropology (Q1); Communication (Q1); Developmental and Educational Psychology (Q1); Linguistics and Language (Q1)"
Journal of Industrial Ecology;"Economics and Econometrics (Q1); Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)"
International Forum of Allergy and Rhinology;"Immunology and Allergy (Q1); Otorhinolaryngology (Q1)"
Philosophy and Phenomenological Research;"History and Philosophy of Science (Q1); Philosophy (Q1)"
Transport Policy;"Geography, Planning and Development (Q1); Law (Q1); Transportation (Q1)"
IEEE Transactions on Information Theory;"Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1)"
Journal of Population Economics;"Demography (Q1); Economics and Econometrics (Q1)"
European Radiology;"Medicine (miscellaneous) (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
Environmental Chemistry Letters;Environmental Chemistry (Q1)
Higher Education;"Education (Q1); Law (Q1)"
Justice Quarterly;"Law (Q1); Pathology and Forensic Medicine (Q1)"
"European heart journal. Quality of care &amp; clinical outcomes";"Cardiology and Cardiovascular Medicine (Q1); Health Policy (Q1)"
Computers and Security;"Computer Science (miscellaneous) (Q1); Law (Q1)"
European Union Politics;"Demography (Q1); Health (social science) (Q1); Political Science and International Relations (Q1)"
Journal of Geodesy;"Computers in Earth Sciences (Q1); Geochemistry and Petrology (Q1); Geophysics (Q1)"
Language Learning and Technology;"Computer Science Applications (Q1); Education (Q1); Linguistics and Language (Q1)"
Neurotherapeutics;"Neurology (clinical) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)"
Survey Research Methods;Education (Q1)
Cancer Immunology, Immunotherapy;"Cancer Research (Q1); Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)"
Proceedings of the Combustion Institute;"Chemical Engineering (miscellaneous) (Q1); Mechanical Engineering (Q1); Physical and Theoretical Chemistry (Q1)"
System;"Education (Q1); Linguistics and Language (Q1)"
Current Neuropharmacology;"Medicine (miscellaneous) (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1)"
Journal of Business Venturing Insights;"Business and International Management (Q1); Management of Technology and Innovation (Q1)"
VLDB Journal;"Hardware and Architecture (Q1); Information Systems (Q1)"
International Journal of Extreme Manufacturing;Industrial and Manufacturing Engineering (Q1)
Aging and Disease;"Cell Biology (Q1); Geriatrics and Gerontology (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
Agricultural and Forest Meteorology;"Agronomy and Crop Science (Q1); Atmospheric Science (Q1); Forestry (Q1); Global and Planetary Change (Q1)"
Human Brain Mapping;"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
International Journal of Electronic Commerce;"Business and International Management (Q1); Economics and Econometrics (Q1)"
Educational Technology Research and Development;Education (Q1)
Green Energy and Environment;Renewable Energy, Sustainability and the Environment (Q1)
International Journal of Surgery;"Medicine (miscellaneous) (Q1); Surgery (Q1)"
Journal of Youth and Adolescence;"Developmental and Educational Psychology (Q1); Education (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1)"
Foundations and Trends in Entrepreneurship;"Business and International Management (Q1); Economics and Econometrics (Q1)"
European Journal of Human Genetics;"Genetics (Q1); Genetics (clinical) (Q1)"
JAMA Otolaryngology - Head and Neck Surgery;"Medicine (miscellaneous) (Q1); Otorhinolaryngology (Q1); Surgery (Q1)"
Network Neuroscience;"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computer Science Applications (Q1); Neuroscience (miscellaneous) (Q1)"
Chromosoma;"Genetics (Q1); Genetics (clinical) (Q1)"
IEEE Communications Letters;"Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1); Modeling and Simulation (Q1)"
Journals of Gerontology - Series A Biological Sciences and Medical Sciences;"Aging (Q1); Geriatrics and Gerontology (Q1)"
Finance and Stochastics;"Finance (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
Journal of the American College of Surgeons;Surgery (Q1)
BMJ Quality and Safety;"Health Policy (Q1); Medicine (miscellaneous) (Q1)"
Cell Communication and Signaling;"Biochemistry (Q1); Cell Biology (Q1); Molecular Biology (Q1)"
Journal of Philosophy;Philosophy (Q1)
SIAM Journal on Mathematical Analysis;"Analysis (Q1); Applied Mathematics (Q1); Computational Mathematics (Q1)"
Amyloid : the international journal of experimental and clinical investigation : the official journal of the International Society of Amyloidosis;"Internal Medicine (Q1); Medicine (miscellaneous) (Q1)"
Inflammatory Bowel Diseases;"Gastroenterology (Q1); Immunology and Allergy (Q1)"
ACS Macro Letters;"Inorganic Chemistry (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1)"
Annals of Clinical and Translational Neurology;"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
Monthly Notices of the Royal Astronomical Society: Letters;"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
AIDS and Behavior;"Infectious Diseases (Q1); Public Health, Environmental and Occupational Health (Q1); Social Psychology (Q1)"
IMA Journal of Numerical Analysis;"Applied Mathematics (Q1); Computational Mathematics (Q1); Mathematics (miscellaneous) (Q1)"
Computers, Environment and Urban Systems;"Ecological Modeling (Q1); Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1); Urban Studies (Q1)"
Journal of Fluid Mechanics;"Condensed Matter Physics (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
Research in Science Education;Education (Q1)
