Title;Publisher
Journals of Gerontology - Series A Biological Sciences and Medical Sciences;Oxford University Press
Finance and Stochastics;Springer Verlag
Journal of the American College of Surgeons;Elsevier Inc.
BMJ Quality and Safety;BMJ Publishing Group
Cell Communication and Signaling;Signal Transduction Society
Journal of Philosophy;Journal of Philosophy, Inc.
SIAM Journal on Mathematical Analysis;Society for Industrial and Applied Mathematics Publications
Amyloid : the international journal of experimental and clinical investigation : the official journal of the International Society of Amyloidosis;Informa Healthcare
Inflammatory Bowel Diseases;Oxford University Press
ACS Macro Letters;American Chemical Society
Annals of Clinical and Translational Neurology;"John Wiley &amp; Sons Inc."
Monthly Notices of the Royal Astronomical Society: Letters;Oxford University Press
AIDS and Behavior;Springer New York
IMA Journal of Numerical Analysis;Oxford University Press
Computers, Environment and Urban Systems;Elsevier Ltd.
Journal of Fluid Mechanics;Cambridge University Press
Research in Science Education;Springer Netherlands
Scripta Materialia;Elsevier Ltd.
AIDS;Lippincott Williams and Wilkins Ltd.
Developmental Psychology;American Psychological Association
Integrative Medicine Insights;Libertas Academica Ltd.
Journal of the Peripheral Nervous System;Wiley-Blackwell Publishing Ltd
ACM Transactions on Software Engineering and Methodology;Association for Computing Machinery (ACM)
Marketing Theory;SAGE Publications Ltd
Non-coding RNA;MDPI AG
Technometrics;Taylor and Francis Ltd.
Applied Psychology: Health and Well-Being;Wiley-Blackwell
Biofabrication;IOP Publishing Ltd.
Immunity and Ageing;BioMed Central Ltd.
International Journal of Eating Disorders;"John Wiley &amp; Sons Inc."
European Child and Adolescent Psychiatry;D. Steinkopff-Verlag
Inflammation and Regeneration;BioMed Central Ltd.
Reviews in Fisheries Science and Aquaculture;Taylor and Francis Ltd.
Computers and Geotechnics;Elsevier BV
Corrosion Science;Elsevier Ltd.
Journal of Environmental Informatics;International Society for Environmental Information Sciences
Quaternary Science Reviews;Elsevier Ltd.
International Journal of Intelligent Systems;John Wiley and Sons Ltd
Advances in Life Course Research;Elsevier
Behavior Therapy;Elsevier Inc.
Current Opinion in HIV and AIDS;Lippincott Williams and Wilkins Ltd.
Child Abuse and Neglect;Elsevier Ltd.
International Business Review;Elsevier Ltd.
Telematics and Informatics;Elsevier Ltd.
Clinical Pharmacology and Therapeutics;Wiley-Blackwell
European Journal of General Practice;Taylor and Francis Ltd.
European Journal of Preventive Cardiology;Oxford University Press
Expert Review of Vaccines;Taylor and Francis Ltd.
Mineralium Deposita;Springer Verlag
Diversity and Distributions;Wiley-Blackwell Publishing Ltd
JACC: CardioOncology;Elsevier Inc.
Journal of Leukocyte Biology;"John Wiley &amp; Sons Inc."
Ocular Surface;Elsevier Inc.
Current Forestry Reports;Springer International Publishing AG
British Journal of Health Psychology;Wiley-Blackwell
Combustion and Flame;Elsevier Inc.
Environmental Science and Policy;Elsevier BV
European Psychiatry;Cambridge University Press
Journal of Bone and Mineral Research;Wiley-Blackwell
Molecular and Cellular Biology;American Society for Microbiology
Energy and Buildings;Elsevier BV
EuroIntervention;EuroPCR
Journal of Computational and Graphical Statistics;Taylor and Francis Ltd.
Social Psychiatry and Psychiatric Epidemiology;D. Steinkopff-Verlag
SIAM Journal of Scientific Computing;Society for Industrial and Applied Mathematics Publications
International Journal of Artificial Intelligence;Indian Society for Development and Environment Research
IEEE Transactions on Intelligent Vehicles;Institute of Electrical and Electronics Engineers Inc.
Journal of Molecular Diagnostics;Elsevier Inc.
Monthly Notices of the Royal Astronomical Society;Oxford University Press
Obesity;Wiley-Blackwell
Thrombosis Research;Elsevier Ltd.
British Journal of Haematology;Wiley-Blackwell Publishing Ltd
Coastal Engineering;Elsevier
Diabetes Research and Clinical Practice;Elsevier Ireland Ltd
Physical Review D;American Physical Society
DNA Repair;Elsevier
Evolution and Human Behavior;Elsevier Inc.
Geography Compass;Wiley-Blackwell Publishing Ltd
Decision Sciences;Wiley-Blackwell Publishing Ltd
People and Nature;Wiley-Blackwell Publishing Ltd
ACS Pharmacology and Translational Science;American Chemical Society
Artificial Intelligence;Elsevier
Thyroid;Mary Ann Liebert Inc.
IEEE Control Systems Letters;Institute of Electrical and Electronics Engineers Inc.
JCO clinical cancer informatics;American Society of Clinical Oncology
Organic Letters;American Chemical Society
RMD Open;BMJ Publishing Group
Computer Graphics Forum;Wiley-Blackwell Publishing Ltd
Environment and Planning A;SAGE Publications Ltd
American Naturalist;University of Chicago
Journal of Epidemiology and Community Health;BMJ Publishing Group
Journal of Telemedicine and Telecare;SAGE Publications Ltd
Molecular Autism;BioMed Central Ltd.
Society and Mental Health;SAGE Publications Inc.
Biochemical Society Transactions;Portland Press, Ltd.
Geophysics;Society of Exploration Geophysicists
Transfusion Medicine Reviews;W.B. Saunders Ltd
Academic Medicine;Lippincott Williams and Wilkins Ltd.
Agriculture, Ecosystems and Environment;Elsevier
Handbook of Computational Economics;Elsevier
Cell and Bioscience;BioMed Central Ltd.
Energy Conversion and Management: X;Elsevier Ltd.
European Heart Journal - Cardiovascular Pharmacotherapy;Oxford University Press
European Journal of Neurology;Wiley-Blackwell Publishing Ltd
Acta Biomaterialia;Elsevier BV
Ambio;Allen Press Inc.
Frontiers in Cellular Neuroscience;Frontiers Media S.A.
Journal of Financial Markets;Elsevier
Policy Sciences;Springer Netherlands
Production Planning and Control;Taylor and Francis Ltd.
European Journal of Work and Organizational Psychology;Taylor and Francis Ltd.
Neurocomputing;Elsevier
Research and Politics;SAGE Publications Ltd
Current Opinion in Behavioral Sciences;Elsevier Ltd.
Journal of Management Inquiry;SAGE Publications Inc.
Molecular Biology of the Cell;American Society for Cell Biology
European Economic Review;Elsevier
Financial Analysts Journal;CFA Institute
Journal of Financial Stability;Elsevier
Cities;Elsevier Ltd.
Psychiatry Research;Elsevier Ireland Ltd
Composites - Part A: Applied Science and Manufacturing;Elsevier Ltd.
Health Services Research;Wiley-Blackwell Publishing Ltd
Climate Policy;Taylor and Francis Ltd.
Distance Education;Routledge
Oxford Bulletin of Economics and Statistics;Wiley-Blackwell Publishing Ltd
Current Opinion in Ophthalmology;Lippincott Williams and Wilkins Ltd.
Early Childhood Research Quarterly;Elsevier Ltd.
journal of prevention of Alzheimer's disease, The;Springer International Publishing AG
Advances in Cancer Research;Academic Press Inc.
Journal of Economics and Management Strategy;Wiley-Blackwell Publishing Ltd
Journal of Research in Crime and Delinquency;SAGE Publications Inc.
Nonlinear Analysis: Hybrid Systems;Elsevier BV
Transactions of the American Mathematical Society;American Mathematical Society
Anesthesiology;Lippincott Williams and Wilkins Ltd.
Retina;Lippincott Williams and Wilkins Ltd.
Chaos, Solitons and Fractals;Elsevier Ltd.
Cognitive Psychology;Academic Press Inc.
International Endodontic Journal;Wiley-Blackwell Publishing Ltd
Histopathology;Wiley-Blackwell Publishing Ltd
npj Biofilms and Microbiomes;Nature Publishing Group
Journal of Human Evolution;Academic Press Inc.
Language Teaching Research;SAGE Publications Ltd
Machine Learning;Springer Netherlands
American Journal of Physiology - Lung Cellular and Molecular Physiology;American Physiological Society
Lab on a Chip;Royal Society of Chemistry
Neurobiology of Stress;Elsevier BV
Influenza and other Respiratory Viruses;Wiley-Blackwell Publishing Ltd
Legislative Studies Quarterly;Wiley-Blackwell
Annals of the American Association of Geographers;Taylor and Francis Ltd.
Cognitive Behaviour Therapy;Taylor and Francis AS
Land Use Policy;Elsevier Ltd.
Current Opinion in Neurology;Lippincott Williams and Wilkins Ltd.
Geography and Sustainability;
Urban Education;SAGE Publications Inc.
Desalination;Elsevier
Fluids and Barriers of the CNS;BioMed Central Ltd.
Explorations in Economic History;Academic Press Inc.
Lithos;Elsevier
Communication Theory;Wiley-Blackwell
Geosphere;Geological Society of America
Social and Personality Psychology Compass;John Wiley and Sons Ltd
Engineering Structures;Elsevier BV
Progress of Theoretical and Experimental Physics;Oxford University Press
Journal of Financial Econometrics;Oxford University Press
Development and Psychopathology;Cambridge University Press
International Journal of Sports Physiology and Performance;Human Kinetics Publishers Inc.
European Urban and Regional Studies;SAGE Publications Ltd
Medical Care Research and Review;SAGE Publications Inc.
Wiley Interdisciplinary Reviews: Nanomedicine and Nanobiotechnology;"John Wiley &amp; Sons Inc."
American Journal of Pathology;Elsevier Inc.
Applied Materials Today;Elsevier BV
Journal of Chemical Theory and Computation;American Chemical Society
Journal of Management in Engineering - ASCE;American Society of Civil Engineers (ASCE)
Molecular Plant Pathology;Wiley-Blackwell Publishing Ltd
Criminology and Public Policy;Wiley-Blackwell Publishing Ltd
IEEE Transactions on Network and Service Management;Institute of Electrical and Electronics Engineers Inc.
Internet Research;Emerald Group Publishing Ltd.
Autism;SAGE Publications Ltd
International Journal of Web and Grid Services;Inderscience Enterprises Ltd
Medicine and Science in Sports and Exercise;Lippincott Williams and Wilkins Ltd.
Public Administration;Wiley-Blackwell Publishing Ltd
Archives of Computational Methods in Engineering;Springer Netherlands
Journal of Physical Oceanography;American Meteorological Society
Organization and Environment;SAGE Publications Inc.
Basic Research in Cardiology;D. Steinkopff-Verlag
Data Mining and Knowledge Discovery;Springer Netherlands
International Studies Quarterly;Oxford University Press
Quarterly Review of Biology;University of Chicago
Engineering;Elsevier Ltd.
Liver Transplantation;John Wiley and Sons Ltd
ACS Applied Energy Materials;American Chemical Society
Canadian Geotechnical Journal;National Research Council of Canada
Journal of the European Academy of Dermatology and Venereology;Wiley-Blackwell
American Review of Public Administration;SAGE Publications Inc.
Carbohydrate Polymers;Elsevier Ltd.
Journal of Quantitative Criminology;Springer New York
FEBS Journal;Wiley-Blackwell Publishing Ltd
Journal of Hospitality and Tourism Management;Elsevier BV
Journal of Hydrology;Elsevier
Agronomy for Sustainable Development;Springer Science + Business Media
Environment and Behavior;SAGE Publications Ltd
Journal of Toxicology and Environmental Health - Part B: Critical Reviews;Taylor and Francis Ltd.
Clinical Immunology;Academic Press Inc.
Exercise and Sport Sciences Reviews;Lippincott Williams and Wilkins Ltd.
Handbook of Econometrics;Elsevier
Journal of Technology Transfer;Kluwer Academic Publishers
Clinical Psychology: Science and Practice;Wiley-Blackwell
Journal of Materials Chemistry C;Royal Society of Chemistry
Development and Change;Wiley-Blackwell Publishing Ltd
Internet of Things (Netherlands);Elsevier BV
Journal of Biogeography;Wiley-Blackwell Publishing Ltd
Journal of Higher Education;Ohio State University Press
Remedial and Special Education;SAGE Publications Inc.
Suicide and Life-Threatening Behavior;Wiley-Blackwell
Intelligent Systems with Applications;Elsevier BV
Journal of Geophysical Research E: Planets;Wiley-Blackwell Publishing Ltd
Urban Geography;Taylor and Francis Ltd.
Physical Education and Sport Pedagogy;Taylor and Francis Ltd.
Antibody Therapeutics;Oxford University Press
Immunology and Cell Biology;"John Wiley &amp; Sons Inc."
Science China Materials;Science in China Press
Health Reports;Statistics Canada
Advanced Engineering Informatics;Elsevier Ltd.
British Journal of Industrial Relations;Wiley-Blackwell Publishing Ltd
Horticulture Research;Nature Publishing Group
Journal of Endodontics;Elsevier Inc.
Journal of Services Marketing;Emerald Group Publishing Ltd.
Journal of Law and Economics;University of Chicago
Medical Education;Wiley-Blackwell Publishing Ltd
Biomolecular Detection and Quantification;Elsevier GmbH
Critical Reviews in Microbiology;Informa Healthcare
Palliative Medicine;SAGE Publications Ltd
Communications Chemistry;Springer Nature
Computers and Electronics in Agriculture;Elsevier
Annals of Behavioral Medicine;Springer New York
Journal of Structural Biology;Academic Press Inc.
Review of General Psychology;American Psychological Association
Computer Networks;Elsevier
iScience;Elsevier Inc.
Chinese Journal of Electrical Engineering;Institute of Electrical and Electronics Engineers Inc.
Ecological Applications;Wiley-Blackwell
Environmental Science: Nano;Royal Society of Chemistry
IEEE/ACM Transactions on Audio Speech and Language Processing;IEEE Advancing Technology for Humanity
Applied Psychology;Wiley-Blackwell Publishing Ltd
Proceedings of the ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI);Association for Computing Machinery (ACM)
Applied Computing and Informatics;Emerald Group Publishing Ltd.
Journal of Cheminformatics;Chemistry Central
Materials Chemistry Frontiers;Royal Society of Chemistry
Cancer Science;Wiley-Blackwell
Diabetes and Metabolic Syndrome: Clinical Research and Reviews;Elsevier BV
Journal of Counseling Psychology;American Psychological Association
Microbes and Infection;Elsevier USA
ACM Transactions on Information Systems;Association for Computing Machinery (ACM)
Applied Thermal Engineering;Elsevier Ltd.
World Bank Research Observer;Oxford University Press
Publication of the Astronomical Society of Japan;Oxford University Press
Frontiers in Molecular Neuroscience;Frontiers Media S.A.
Global Sustainability;Cambridge University Press
Journal of Allergy and Clinical Immunology: In Practice;Elsevier
INFORMS Journal on Computing;INFORMS Institute for Operations Research and the Management Sciences
Computational Visual Media;Tsinghua University Press
Gerontologist, The;Oxford University Press
Sport Management Review;Elsevier BV
Current Opinion in Infectious Diseases;Lippincott Williams and Wilkins Ltd.
International Entrepreneurship and Management Journal;Springer New York
Journal of Materials Processing Technology;Elsevier BV
Current Diabetes Reports;Current Medicine Group
Journal of Investigative Dermatology;Nature Publishing Group
Mathematics of Computation;American Mathematical Society
Microbial genomics;Microbiology Society
Journal of General Physiology;Rockefeller University Press
Mobile DNA;BioMed Central Ltd.
Railway Engineering Science;Springer Nature Switzerland AG
IEEE Intelligent Systems;Institute of Electrical and Electronics Engineers Inc.
Journal of Mixed Methods Research;SAGE Publications Ltd
Spine Journal;Elsevier Inc.
Algebra and Number Theory;Mathematical Sciences Publishers
Energy and Built Environment;KeAi Communications Co.
Field Crops Research;Elsevier
Gifted Child Quarterly;SAGE Publications Inc.
Comprehensive Psychiatry;W.B. Saunders Ltd
Journal of Translational Medicine;BioMed Central Ltd.
Journal of Aging and Social Policy;Routledge
Journal of Orthopaedic Trauma;Lippincott Williams and Wilkins Ltd.
Nano Convergence;SpringerOpen
Paleoceanography and Paleoclimatology;"John Wiley &amp; Sons Inc."
ACM Transactions on Knowledge Discovery from Data;Association for Computing Machinery (ACM)
Arthritis Care and Research;"John Wiley &amp; Sons Inc."
Body Image;Elsevier BV
EURO Journal on Transportation and Logistics;Elsevier BV
Nucleic Acid Therapeutics;Mary Ann Liebert Inc.
Social Networks;Elsevier BV
Studies in Higher Education;Routledge
Autonomous Robots;Springer Netherlands
Communications of the ACM;Association for Computing Machinery (ACM)
Movement Ecology;BioMed Central Ltd.
Data Science and Engineering;Springer Berlin
European Physical Journal C;Springer New York
Genes and Diseases;Elsevier BV
Journal of Research in Interactive Marketing;Emerald Group Publishing Ltd.
"Materials Science &amp; Engineering A: Structural Materials: Properties, Microstructure and Processing";Elsevier BV
Nuclear Fusion;IOP Publishing Ltd.
Rheumatology;Oxford University Press
SOIL;Copernicus GmbH
Free Radical Biology and Medicine;Elsevier Inc.
IEEE Transactions on Consumer Electronics;Institute of Electrical and Electronics Engineers Inc.
Planning Theory;SAGE Publications Ltd
Child and Adolescent Psychiatry and Mental Health;BioMed Central Ltd.
"Evolution; international journal of organic evolution";Wiley-Blackwell
Journal of Psychiatric Research;Elsevier Ltd.
Journals of Gerontology - Series B Psychological Sciences and Social Sciences;Gerontological Society of America
Journal of Advanced Ceramics;Springer Science + Business Media
Progress in Solid State Chemistry;Elsevier Ltd.
Big Data Mining and Analytics;Institute of Electrical and Electronics Engineers Inc.
Journal of Nanobiotechnology;BioMed Central Ltd.
International Journal on Document Analysis and Recognition;Springer Verlag
Journal of Air Transport Management;Elsevier Ltd.
Astrodynamics;Tsinghua University Press
Biogeochemistry;Springer Netherlands
Hepatology International;Springer New York
Materials Today Bio;Elsevier BV
Minds and Machines;Springer Netherlands
Foundations and Trends in Signal Processing;Now Publishers Inc
Learning and Individual Differences;Elsevier BV
Media, Culture and Society;SAGE Publications Ltd
Clinical Nutrition;Churchill Livingstone
Sustainable Materials and Technologies;Elsevier BV
International Journal of Robust and Nonlinear Control;John Wiley and Sons Ltd
Journal of Rural Health;Wiley-Blackwell
Atmospheric Measurement Techniques;Copernicus Gesellschaft mbH
Clinical Trials;SAGE Publications Ltd
Agricultural Systems;Elsevier BV
Biogeosciences;European Geosciences Union
CAAI Transactions on Intelligence Technology;"John Wiley &amp; Sons Inc."
European Journal of Teacher Education;Routledge
Foreign Language Annals;Wiley-Blackwell
Antimicrobial Agents and Chemotherapy;American Society for Microbiology
SIAM Journal on Control and Optimization;Society for Industrial and Applied Mathematics Publications
World Bank Economic Review;Oxford University Press
mAbs;Landes Bioscience
Tectonophysics;Elsevier
International Journal of Electrical Power and Energy Systems;Elsevier Ltd.
International Journal of Human Resource Management;Routledge
Educational Studies in Mathematics;Springer Netherlands
IEEE Journal on Emerging and Selected Topics in Circuits and Systems;IEEE Circuits and Systems Society
International Journal of Mining Science and Technology;Elsevier
Seismological Research Letters;Seismological Society of America
Canadian Journal of Psychiatry;SAGE Publications Inc.
Current Opinion in Insect Science;Elsevier BV
BioDrugs;Adis International Ltd
International Journal for Numerical and Analytical Methods in Geomechanics;John Wiley and Sons Ltd
Perspectives in Ecology and Conservation;
Systematic Entomology;Wiley-Blackwell Publishing Ltd
Computational and Structural Biotechnology Journal;Research Networks
International Journal of Mechanical Sciences;Elsevier Ltd.
ACS Synthetic Biology;American Chemical Society
Assessment;SAGE Publications Inc.
International Immunology;Oxford University Press
Journal of General Internal Medicine;Springer Nature
Physical Review B;American Physical Society
Nephrology Dialysis Transplantation;Oxford University Press
Business Ethics Quarterly;Cambridge University Press
Nucleus;Landes Bioscience
Advances in Biological Regulation;Elsevier Ltd.
Physical Review Applied;American Physical Society
Molecular Phylogenetics and Evolution;Academic Press Inc.
Structural Health Monitoring;SAGE Publications Ltd
Forensic Science International: Genetics;Elsevier Ireland Ltd
Commentarii Mathematici Helvetici;European Mathematical Society Publishing House
Molecular Therapy - Oncolytics;Cell Press
Structural Dynamics;AAPM - American Association of Physicists in Medicine
User Modeling and User-Adapted Interaction;Springer Netherlands
New Political Economy;Routledge
Otolaryngology - Head and Neck Surgery;SAGE Publications Inc.
Journal of Rock Mechanics and Geotechnical Engineering;Chinese Academy of Sciences
APL Materials;American Institute of Physics
Journal of Pain and Symptom Management;Elsevier Inc.
ACS Chemical Biology;American Chemical Society
British Journal of Psychology;Wiley-Blackwell
Chinese Journal of Chemistry;Wiley-Blackwell
Gene Expression;Cognizant Communication Corporation
Governance;Wiley-Blackwell Publishing Ltd
ESMO Open;Elsevier BV
Journal of Hydrology X;Elsevier BV
Journal of Clinical Immunology;Springer New York
Journal of Geophysical Research: Oceans;Wiley-Blackwell
Journal of Neurochemistry;Wiley-Blackwell Publishing Ltd
Annals of the New York Academy of Sciences;Wiley-Blackwell
Foot and Ankle International;SAGE Publications Inc.
Microsystems and Nanoengineering;Nature Publishing Group
Prostate Cancer and Prostatic Diseases;Nature Publishing Group
Applied Economic Perspectives and Policy;"John Wiley &amp; Sons Inc."
BioEssays;"John Wiley &amp; Sons Inc."
Sleep;Oxford University Press
Cell Stress;
Journal of Educational Change;Springer Netherlands
Journal of Industrial Integration and Management;World Scientific Publishing Co., Inc.
International Journal of Accounting Information Systems;Elsevier Inc.
Solar Energy Materials and Solar Cells;Elsevier BV
Fuel;Elsevier BV
Best Practice and Research in Clinical Obstetrics and Gynaecology;Bailliere Tindall Ltd
Chemical Communications;Royal Society of Chemistry
IEEE Transactions on Cloud Computing;Institute of Electrical and Electronics Engineers Inc.
Journal of Biomolecular Techniques;Association of Biomolecular Resource Facilities
Journal of Shoulder and Elbow Surgery;Mosby Inc.
Journal of Physiology;Wiley-Blackwell Publishing Ltd
International Journal of Fatigue;Elsevier Ltd.
Marine Pollution Bulletin;Elsevier Inc.
Environmental Research;Academic Press Inc.
Journal of Agrarian Change;Wiley-Blackwell Publishing Ltd
Cognition and Instruction;Routledge
Reviews in Fish Biology and Fisheries;Springer Netherlands
Bilingualism;Cambridge University Press
Chemosphere;Elsevier Ltd.
Earthquake Spectra;Earthquake Engineering Research Institute
Journal of Neural Engineering;IOP Publishing Ltd.
Macromolecules;American Chemical Society
Magnetic Resonance in Medicine;"John Wiley &amp; Sons Inc."
Dermatitis;Lippincott Williams and Wilkins Ltd.
Social Science Computer Review;SAGE Publications Inc.
East European Politics;Taylor and Francis Ltd.
Group and Organization Management;SAGE Publications Inc.
Human Microbiome Journal;Elsevier Ltd.
JPhys Energy;IOP Publishing Ltd.
Mechanism and Machine Theory;Elsevier Ltd.
Electronic Journal of Statistics;Institute of Mathematical Statistics
Cladistics;Wiley-Blackwell Publishing Ltd
Health Psychology;American Psychological Association
Building and Environment;Elsevier BV
International Journal of Logistics Management;Emerald Group Publishing Ltd.
Online Learning Journal;The Online Learning Consortium
Synthesis Lectures on Communication Networks;Morgan and Claypool Publishers
Artificial Intelligence in Medicine;Elsevier
European Journal of Social Psychology;John Wiley and Sons Ltd
Evolutionary Applications;Wiley-Blackwell
Journal of Experimental Political Science;Cambridge University Press
Mass Communication and Society;Routledge
Immune Network;Korean Association of Immunologists
Journal of Science and Medicine in Sport;Elsevier BV
Structural Safety;Elsevier
International Journal of Bilingual Education and Bilingualism;Taylor and Francis Ltd.
Journal of Antimicrobial Chemotherapy;Oxford University Press
Structural and Multidisciplinary Optimization;Springer Verlag
European Journal of Industrial Relations;SAGE Publications Ltd
International Journal of Clinical and Health Psychology;Elsevier Doyma
Public Health Reviews;Frontiers Media S.A.
Gynecologic Oncology;Academic Press Inc.
Fungal Systematics and Evolution;Westerdijk Fungal Biodiversity Institute
Agricultural Water Management;Elsevier
Emerging Markets Review;Elsevier
Harvard Review of Psychiatry;Lippincott Williams and Wilkins Ltd.
Journal of Common Market Studies;Wiley-Blackwell Publishing Ltd
Journal of Computer Assisted Learning;Wiley-Blackwell Publishing Ltd
Archives of Pathology and Laboratory Medicine;College of American Pathologists
Annales de l'institut Henri Poincare (B) Probability and Statistics;Institute of Mathematical Statistics
Food Chemistry;Elsevier Ltd.
Journal of Global Economic Analysis;Purdue University, Department of Agricultural Economics
Science Communication;SAGE Publications Inc.
Journal of Combinatorial Theory - Series A;Academic Press Inc.
Management Learning;SAGE Publications Ltd
Therapeutic Advances in Medical Oncology;SAGE Publications Inc.
Cold Spring Harbor Symposia on Quantitative Biology;Cold Spring Harbor Laboratory Press
Computerized Medical Imaging and Graphics;Elsevier Ltd.
Journal of Artificial Intelligence Research;Morgan Kaufmann Publishers, Inc.
Journal of Hydrometeorology;American Meteorological Society
Science and Technology of Advanced Materials;Taylor and Francis Ltd.
IEEE Solid-State Circuits Letters;Institute of Electrical and Electronics Engineers Inc.
Tourism Review;Emerald Group Publishing Ltd.
Bulletin of the American Museum of Natural History;American Museum of Natural History Library
European Journal of Marketing;Emerald Group Publishing Ltd.
European Journal of Psychotraumatology;Co-Action Publishing
Limnology and Oceanography;Wiley-Blackwell
Journal of Environmental Management;Academic Press Inc.
Personality Disorders: Theory, Research, and Treatment;American Psychological Association
Television and New Media;SAGE Publications Inc.
Batteries and Supercaps;Wiley-VCH Verlag
Computing and Software for Big Science;Springer Nature
American Journal of Physiology - Endocrinology and Metabolism;American Physiological Society
Environmental Science and Ecotechnology;Elsevier BV
Pattern Recognition Letters;Elsevier
Plant and Cell Physiology;Oxford University Press
Critical Reviews in Oncology/Hematology;Elsevier Ireland Ltd
Experimental Neurology;Academic Press Inc.
CMAJ;Canadian Medical Association
European Management Journal;Elsevier Ltd.
npj Schizophrenia;Nature Publishing Group
Radiographics;Radiological Society of North America Inc.
Knee Surgery, Sports Traumatology, Arthroscopy;Springer Verlag
Fortschritte der Physik;Wiley-VCH Verlag
Linguistic Inquiry;MIT Press Journals
International Journal of Hygiene and Environmental Health;Urban und Fischer Verlag Jena
ISA Transactions;ISA - Instrumentation, Systems, and Automation Society
Journal of Psychiatry and Neuroscience;Canadian Medical Association
Journal of Strength and Conditioning Research;NSCA National Strength and Conditioning Association
NJAS - Wageningen Journal of Life Sciences;Elsevier
American Journal of Physiology - Heart and Circulatory Physiology;American Physiological Society
Acta Pharmacologica Sinica;Nature Publishing Group
BJU International;Wiley-Blackwell Publishing Ltd
Gender and Society;SAGE Publications Inc.
Headache;Wiley-Blackwell Publishing Ltd
Journal of Family Theory and Review;Wiley-Blackwell Publishing Ltd
RNA Biology;Landes Bioscience
Value in Health;Elsevier Ltd.
Combinatorica;Janos Bolyai Mathematical Society
Exposure and Health;Springer Netherlands
Journal of Ethnic and Migration Studies;Routledge
Seminars in Arthritis and Rheumatism;W.B. Saunders Ltd
Social Cognitive and Affective Neuroscience;Oxford University Press
Bioengineering and Translational Medicine;"John Wiley &amp; Sons Inc."
Drug Discovery Today;Elsevier Ltd.
International Journal of Nursing Studies;Elsevier Ltd.
Cytometry. Part A : the journal of the International Society for Analytical Cytology;Wiley-Liss Inc.
Journal of acquired immune deficiency syndromes (1999);Lippincott Williams and Wilkins Ltd.
Wiley Interdisciplinary Reviews: Cognitive Science;"John Wiley &amp; Sons Inc."
Endoscopy;Georg Thieme Verlag
Developmental Neurobiology;"John Wiley &amp; Sons Inc."
European Heart Journal: Acute Cardiovascular Care;Oxford University Press
International Soil and Water Conservation Research;
Seminars in Radiation Oncology;W.B. Saunders Ltd
Environment and Urbanization;SAGE Publications Ltd
EPJ Quantum Technology;SpringerOpen
Journal of Banking and Finance;Elsevier
Social Studies of Science;SAGE Publications Ltd
Accounting, Auditing and Accountability Journal;Emerald Group Publishing Ltd.
Biophysical Reviews;Springer Verlag
Journal of the Association for Consumer Research;University of Chicago Press
Tribology International;Elsevier Ltd.
Viruses;Multidisciplinary Digital Publishing Institute (MDPI)
Youth Violence and Juvenile Justice;SAGE Publications Inc.
Acta Physiologica;John Wiley and Sons Ltd
Digestive Endoscopy;Wiley-Blackwell Publishing Ltd
Frontiers in Neural Circuits;Frontiers Media S.A.
Journal of Molecular and Cellular Cardiology;Academic Press Inc.
Philosophers Imprint;University of Michigan Press
Transportation Research Part F: Traffic Psychology and Behaviour;Elsevier Ltd.
Advances in Geo-Energy Research;
International Journal of Heat and Mass Transfer;Elsevier Ltd.
Psychophysiology;Wiley-Blackwell Publishing Ltd
Research on Child and Adolescent Psychopathology;Springer New York
Resources Policy;Elsevier Ltd.
Oikos;Wiley-Blackwell Publishing Ltd
Stochastics and Partial Differential Equations: Analysis and Computations;Springer New York
Evolutionary Anthropology;Wiley-Liss Inc.
International Journal of Sport Nutrition and Exercise Metabolism;Human Kinetics Publishers Inc.
Regional Studies;Routledge
Human Genomics;BioMed Central Ltd.
Journal of Educational and Behavioral Statistics;SAGE Publications Inc.
European Journal of Psychology Applied to Legal Context;Sociedad Espanola de Psicologia Juridica y Forense
Accounting Horizons;American Accounting Association
IMA Fungus;International Mycological Association
Conflict Management and Peace Science;SAGE Publications Inc.
European Urology Focus;Elsevier BV
Applied Developmental Science;Psychology Press Ltd
Cells;Multidisciplinary Digital Publishing Institute (MDPI)
Composite Structures;Elsevier BV
npj Aging and Mechanisms of Disease;Nature Publishing Group
Remote Sensing in Ecology and Conservation;Wiley-Blackwell Publishing Ltd
Schizophrenia Research;Elsevier BV
Neurobiology of Aging;Elsevier Inc.
Philosophy and Technology;Springer Netherlands
PLoS Neglected Tropical Diseases;Public Library of Science
Annali della Scuola normale superiore di Pisa - Classe di scienze;Scuola Normale Superiore
Haemophilia;Wiley-Blackwell Publishing Ltd
Interventional Neurology;S. Karger AG
Therapeutic Advances in Neurological Disorders;SAGE Publications Ltd
Current Opinion in Rheumatology;Lippincott Williams and Wilkins Ltd.
General Hospital Psychiatry;Elsevier Inc.
Information and Software Technology;Elsevier
Molecular Microbiology;Wiley-Blackwell Publishing Ltd
Environmental Microbiology;Wiley-Blackwell Publishing Ltd
Policy and Internet;John Wiley and Sons Ltd
Selecta Mathematica, New Series;Birkhauser Verlag Basel
United European Gastroenterology Journal;"John Wiley &amp; Sons Inc."
Economics of Education Review;Elsevier Ltd.
European Review of Agricultural Economics;Oxford University Press
Expert Opinion on Therapeutic Targets;Taylor and Francis Ltd.
