Title;Category;rank
Bioscience Reports;Biophysics;Q2
Bioscience Reports;Cell Biology;Q3
Bioscience Reports;Molecular Biology;Q3
Collectanea Mathematica;Mathematics, miscellaneous;Q1
Collectanea Mathematica;Applied Mathematics;Q2
Current Urology Reports;Urology;Q1
Current Urology Reports;Medicine, miscellaneous;Q2
Financial Accountability and Management;Business, Management and Accounting, miscellaneous;Q1
Financial Accountability and Management;Economics, Econometrics and Finance, miscellaneous;Q1
Foundations and Trends in Accounting;Accounting;Q2
Foundations and Trends in Accounting;Finance;Q2
Health Information Management Journal;Leadership and Management;Q1
Health Information Management Journal;Health Informatics;Q2
Health Information Management Journal;Health Information Management;Q2
Health Information Management Journal;Health Policy;Q2
IEEE Transactions on Magnetics;Electrical and Electronic Engineering;Q2
IEEE Transactions on Magnetics;Electronic, Optical and Magnetic Materials;Q2
Journal of Applied Genetics;Genetics;Q2
Journal of Applied Genetics;Medicine, miscellaneous;Q2
Journal of Archaeological Science: Reports;Archeology;Q1
Journal of Archaeological Science: Reports;Archeology, arts and humanities;Q1
Journal of Archaeological Science: Reports;History;Q1
Journal of Southeast European and Black Sea;History;Q1
Journal of Southeast European and Black Sea;Political Science and International Relations;Q1
Urban Ecosystems;Urban Studies;Q1
Urban Ecosystems;Ecology;Q2
Cancer Management and Research;Oncology;Q2
Clinical Gerontologist;Health, social science;Q1
Clinical Gerontologist;Clinical Psychology;Q2
Clinical Gerontologist;Geriatrics and Gerontology;Q2
Clinical Gerontologist;Gerontology;Q2
Clinical Gerontologist;Social Psychology;Q2
Current Molecular Pharmacology;Drug Discovery;Q2
Current Molecular Pharmacology;Molecular Medicine;Q2
Current Molecular Pharmacology;Pharmacology;Q2
Expositiones Mathematicae;Mathematics, miscellaneous;Q1
International Journal of Modern Physics D;Astronomy and Astrophysics;Q2
International Journal of Modern Physics D;Mathematical Physics;Q2
International Journal of Modern Physics D;Space and Planetary Science;Q2
Journal of Humanitarian Logistics and Supply Chain Management;Management Information Systems;Q2
Journal of Humanitarian Logistics and Supply Chain Management;Management Science and Operations Research;Q2
Metabolic Brain Disease;Biochemistry;Q2
Metabolic Brain Disease;Neurology, clinical;Q2
Metabolic Brain Disease;Cellular and Molecular Neuroscience;Q4
Mineralogy and Petrology;Geochemistry and Petrology;Q2
Mineralogy and Petrology;Geophysics;Q2
Neurodegenerative Diseases;Neurology;Q2
Neurodegenerative Diseases;Neurology, clinical;Q2
Nordic Journal of Psychiatry;Psychiatry and Mental Health;Q2
Oryx;Ecology, Evolution, Behavior and Systematics;Q2
Oryx;Nature and Landscape Conservation;Q2
Wildlife Monographs;Ecology, Evolution, Behavior and Systematics;Q2
Wildlife Monographs;Nature and Landscape Conservation;Q2
Bioorganic Chemistry;Biochemistry;Q2
Bioorganic Chemistry;Drug Discovery;Q2
Bioorganic Chemistry;Organic Chemistry;Q2
Bioorganic Chemistry;Molecular Biology;Q3
BMC Endocrine Disorders;Endocrinology, Diabetes and Metabolism;Q2
BMC Endocrine Disorders;Medicine, miscellaneous;Q2
BMC International Health and Human Rights;Public Health, Environmental and Occupational Health;Q2
Catalysts;Catalysis;Q2
Catalysts;Physical and Theoretical Chemistry;Q2
Child and Adolescent Psychiatric Clinics of North America;Pediatrics, Perinatology and Child Health;Q2
Child and Adolescent Psychiatric Clinics of North America;Psychiatry and Mental Health;Q2
Climate;Atmospheric Science;Q2
Evolution: Education and Outreach;Education;Q1
Evolution: Education and Outreach;Ecology, Evolution, Behavior and Systematics;Q2
International Journal of Adaptive Control and Signal Processing;Control and Systems Engineering;Q2
International Journal of Adaptive Control and Signal Processing;Electrical and Electronic Engineering;Q2
International Journal of Adaptive Control and Signal Processing;Signal Processing;Q2
Journal of Imaging;Computer Graphics and Computer-Aided Design;Q2
Journal of Imaging;Computer Vision and Pattern Recognition;Q2
Journal of Imaging;Electrical and Electronic Engineering;Q2
Journal of Imaging;Radiology, Nuclear Medicine and Imaging;Q2
Knee;Orthopedics and Sports Medicine;Q2
Knee;Sports Science;Q2
Organic Electronics;Chemistry, miscellaneous;Q1
Organic Electronics;Materials Chemistry;Q1
Organic Electronics;Biomaterials;Q2
Organic Electronics;Condensed Matter Physics;Q2
Organic Electronics;Electrical and Electronic Engineering;Q2
Organic Electronics;Electronic, Optical and Magnetic Materials;Q2
Results in Nonlinear Analysis;Analysis;Q2
Results in Nonlinear Analysis;Applied Mathematics;Q2
Results in Nonlinear Analysis;Geometry and Topology;Q2
Results in Nonlinear Analysis;Mathematics, miscellaneous;Q2
Stress;Endocrine and Autonomic Systems;Q2
Stress;Neuropsychology and Physiological Psychology;Q2
Stress;Physiology;Q2
Stress;Psychiatry and Mental Health;Q2
Stress;Behavioral Neuroscience;Q3
Transplantation Direct;Transplantation;Q2
BMC Biochemistry;Biochemistry;Q2
BMC Biochemistry;Molecular Biology;Q3
Brain Sciences;Neuroscience, miscellaneous;Q3
Critical Discourse Studies;Social Sciences, miscellaneous;Q1
Depositional Record;Geology;Q1
Depositional Record;Paleontology;Q1
Depositional Record;Environmental Science, miscellaneous;Q2
Depositional Record;Oceanography;Q2
Depositional Record;Stratigraphy;Q2
International Journal of Research and Method in Education;Education;Q1
Journal of Contemporary Ethnography;Anthropology;Q1
Journal of Contemporary Ethnography;Linguistics and Language;Q1
Journal of Contemporary Ethnography;Sociology and Political Science;Q1
Journal of Contemporary Ethnography;Urban Studies;Q1
Journal of Industrial Microbiology and Biotechnology;Applied Microbiology and Biotechnology;Q2
Journal of Industrial Microbiology and Biotechnology;Bioengineering;Q2
Journal of Industrial Microbiology and Biotechnology;Biotechnology;Q2
Journal of Industrial Microbiology and Biotechnology;Medicine, miscellaneous;Q2
Journal of Phycology;Aquatic Science;Q1
Journal of Phycology;Plant Science;Q1
Journal of Supercomputing;Hardware and Architecture;Q2
Journal of Supercomputing;Information Systems;Q2
Journal of Supercomputing;Software;Q2
Journal of Supercomputing;Theoretical Computer Science;Q2
Orthopedic Clinics of North America;Orthopedics and Sports Medicine;Q2
Scandinavian Journal of Psychology;Arts and Humanities, miscellaneous;Q1
Scandinavian Journal of Psychology;Developmental and Educational Psychology;Q2
Scandinavian Journal of Psychology;Medicine, miscellaneous;Q2
Scandinavian Journal of Psychology;Psychology, miscellaneous;Q2
Cost Effectiveness and Resource Allocation;Health Policy;Q2
Ecological Entomology;Insect Science;Q1
Ecological Entomology;Ecology;Q2
Foods;Food Science;Q1
Foods;Health Professions, miscellaneous;Q1
Foods;Health, social science;Q1
Foods;Plant Science;Q1
Foods;Microbiology;Q3
Functional and Integrative Genomics;Genetics;Q2
Functional and Integrative Genomics;Medicine, miscellaneous;Q2
Izvestiya Mathematics;Mathematics, miscellaneous;Q2
Journal of the Urban Planning and Development Division, ASCE;Development;Q1
Journal of the Urban Planning and Development Division, ASCE;Geography, Planning and Development;Q1
Journal of the Urban Planning and Development Division, ASCE;Urban Studies;Q1
Journal of the Urban Planning and Development Division, ASCE;Civil and Structural Engineering;Q2
Neuropeptides;Endocrinology;Q2
Neuropeptides;Medicine, miscellaneous;Q2
Neuropeptides;Neurology;Q2
Neuropeptides;Endocrine and Autonomic Systems;Q3
Neuropeptides;Cellular and Molecular Neuroscience;Q4
Polymers;Chemistry, miscellaneous;Q1
Polymers;Polymers and Plastics;Q1
Postgraduate Medicine;Medicine, miscellaneous;Q2
Quality Engineering;Industrial and Manufacturing Engineering;Q1
Quality Engineering;Safety, Risk, Reliability and Quality;Q2
Tissue Engineering - Part A.;Biochemistry;Q2
Tissue Engineering - Part A.;Bioengineering;Q2
Tissue Engineering - Part A.;Biomaterials;Q2
Tissue Engineering - Part A.;Biomedical Engineering;Q2
AHURI Final Report;Development;Q1
AHURI Final Report;Urban Studies;Q1
AHURI Final Report;Public Administration;Q2
Asian Business and Management;Political Science and International Relations;Q1
Asian Business and Management;Sociology and Political Science;Q1
Asian Business and Management;Business and International Management;Q2
Asian Business and Management;Strategy and Management;Q2
Cambridge Archaeological Journal;Archeology;Q1
Cambridge Archaeological Journal;Archeology, arts and humanities;Q1
Cambridge Archaeological Journal;Cultural Studies;Q1
Cardiovascular Therapeutics;Cardiology and Cardiovascular Medicine;Q2
Cardiovascular Therapeutics;Medicine, miscellaneous;Q2
Cardiovascular Therapeutics;Pharmacology;Q2
Cardiovascular Therapeutics;Pharmacology, medical;Q2
Child Indicators Research;Health, social science;Q1
Child Indicators Research;Sociology and Political Science;Q1
Child Indicators Research;Social Psychology;Q2
Communications in Mathematics and Statistics;Applied Mathematics;Q2
Communications in Mathematics and Statistics;Computational Mathematics;Q2
Communications in Mathematics and Statistics;Statistics and Probability;Q2
Diagnostic Pathology;Histology;Q2
Diagnostic Pathology;Medicine, miscellaneous;Q2
Diagnostic Pathology;Pathology and Forensic Medicine;Q2
European Journal of Medical Research;Medicine, miscellaneous;Q2
Experimental Mechanics;Aerospace Engineering;Q1
Experimental Mechanics;Mechanical Engineering;Q1
Experimental Mechanics;Mechanics of Materials;Q2
Journal of Environmental Radioactivity;Environmental Chemistry;Q2
Journal of Environmental Radioactivity;Health, Toxicology and Mutagenesis;Q2
Journal of Environmental Radioactivity;Medicine, miscellaneous;Q2
Journal of Environmental Radioactivity;Pollution;Q2
Journal of Environmental Radioactivity;Waste Management and Disposal;Q2
Journal of Knee Surgery;Surgery;Q1
Journal of Knee Surgery;Orthopedics and Sports Medicine;Q2
Journal of Land Use Science;Geography, Planning and Development;Q1
Journal of Land Use Science;Earth-Surface Processes;Q2
Journal of Land Use Science;Management, Monitoring, Policy and Law;Q2
Public Administration and Development;Development;Q1
Public Administration and Development;Public Administration;Q2
Shape Memory and Superelasticity;Materials Science, miscellaneous;Q2
Shape Memory and Superelasticity;Mechanics of Materials;Q2
Brazilian Journal of Geology;Earth and Planetary Sciences, miscellaneous;Q1
Chronic Respiratory Disease;Pulmonary and Respiratory Medicine;Q2
Current Opinion in Allergy and Clinical Immunology;Immunology;Q3
Current Opinion in Allergy and Clinical Immunology;Immunology and Allergy;Q3
Electronic Journal of Combinatorics;Applied Mathematics;Q2
Electronic Journal of Combinatorics;Computational Theory and Mathematics;Q2
Electronic Journal of Combinatorics;Discrete Mathematics and Combinatorics;Q2
Electronic Journal of Combinatorics;Geometry and Topology;Q2
Electronic Journal of Combinatorics;Theoretical Computer Science;Q2
Future Science OA;Biotechnology;Q2
Future Science OA;Medicine, miscellaneous;Q2
IBRO Neuroscience Reports;Neuroscience, miscellaneous;Q3
IET Intelligent Transport Systems;Law;Q1
IET Intelligent Transport Systems;Mechanical Engineering;Q1
IET Intelligent Transport Systems;Environmental Science, miscellaneous;Q2
IET Intelligent Transport Systems;Transportation;Q2
JBJS Essential Surgical Techniques;Surgery;Q1
JBJS Essential Surgical Techniques;Orthopedics and Sports Medicine;Q2
JOR Spine;Orthopedics and Sports Medicine;Q2
Journal of Circulating Biomarkers;Biochemistry, medical;Q2
Journal of Circulating Biomarkers;Clinical Biochemistry;Q2
Journal of Clinical Densitometry;Endocrinology, Diabetes and Metabolism;Q2
Journal of Clinical Densitometry;Orthopedics and Sports Medicine;Q2
Journal of Clinical Densitometry;Radiology, Nuclear Medicine and Imaging;Q2
OMICS A Journal of Integrative Biology;Biochemistry;Q2
OMICS A Journal of Integrative Biology;Biotechnology;Q2
OMICS A Journal of Integrative Biology;Genetics;Q2
OMICS A Journal of Integrative Biology;Medicine, miscellaneous;Q2
OMICS A Journal of Integrative Biology;Molecular Medicine;Q2
OMICS A Journal of Integrative Biology;Molecular Biology;Q3
Palliative and Supportive Care;Nursing, miscellaneous;Q1
Palliative and Supportive Care;Clinical Psychology;Q2
Palliative and Supportive Care;Medicine, miscellaneous;Q2
Palliative and Supportive Care;Psychiatry and Mental Health;Q2
Plant Growth Regulation;Agronomy and Crop Science;Q1
Plant Growth Regulation;Plant Science;Q1
Plant Growth Regulation;Physiology;Q2
Cognitive Neuroscience;Cognitive Neuroscience;Q3
Corpus Linguistics and Linguistic Theory;Linguistics and Language;Q1
Current Treatment Options in Cardiovascular Medicine;Cardiology and Cardiovascular Medicine;Q2
Disaster Medicine and Public Health Preparedness;Public Health, Environmental and Occupational Health;Q2
Growth and Change;Global and Planetary Change;Q3
International Health;Health, social science;Q1
International Health;Medicine, miscellaneous;Q2
International Health;Public Health, Environmental and Occupational Health;Q2
Physical and Engineering Sciences in Medicine;Instrumentation;Q1
Physical and Engineering Sciences in Medicine;Biomedical Engineering;Q2
Physical and Engineering Sciences in Medicine;Biophysics;Q2
Physical and Engineering Sciences in Medicine;Biotechnology;Q2
Physical and Engineering Sciences in Medicine;Radiological and Ultrasound Technology;Q2
Physical and Engineering Sciences in Medicine;Radiology, Nuclear Medicine and Imaging;Q2
Pure and Applied Geophysics;Geochemistry and Petrology;Q2
Pure and Applied Geophysics;Geophysics;Q2
Studia Logica;History and Philosophy of Science;Q1
Studia Logica;Logic;Q2
Viral Immunology;Immunology;Q3
Viral Immunology;Molecular Medicine;Q3
Viral Immunology;Virology;Q3
ACM Transactions on Autonomous and Adaptive Systems;Computer Science, miscellaneous;Q1
ACM Transactions on Autonomous and Adaptive Systems;Control and Systems Engineering;Q2
ACM Transactions on Autonomous and Adaptive Systems;Software;Q2
Geotechnical Testing Journal;Geotechnical Engineering and Engineering Geology;Q2
Journal of Cultural Heritage;Anthropology;Q1
Journal of Cultural Heritage;Archeology, arts and humanities;Q1
Journal of Cultural Heritage;Chemistry, miscellaneous;Q1
Journal of Cultural Heritage;Conservation;Q1
Journal of Cultural Heritage;Economics, Econometrics and Finance, miscellaneous;Q1
Journal of Cultural Heritage;History;Q1
Journal of Cultural Heritage;Computer Science Applications;Q2
Journal of Cultural Heritage;Materials Science, miscellaneous;Q2
Journal of Cultural Heritage;Spectroscopy;Q2
Journal of Policy and Practice in Intellectual Disabilities;Health, social science;Q1
Journal of Policy and Practice in Intellectual Disabilities;Public Health, Environmental and Occupational Health;Q2
Macromolecular Materials and Engineering;Chemical Engineering, miscellaneous;Q1
Macromolecular Materials and Engineering;Materials Chemistry;Q1
Macromolecular Materials and Engineering;Polymers and Plastics;Q1
Macromolecular Materials and Engineering;Organic Chemistry;Q2
Revista Matematica Complutense;Mathematics, miscellaneous;Q2
Autonomic Neuroscience: Basic and Clinical;Neurology, clinical;Q2
Autonomic Neuroscience: Basic and Clinical;Endocrine and Autonomic Systems;Q3
Autonomic Neuroscience: Basic and Clinical;Cellular and Molecular Neuroscience;Q4
Comparative Biochemistry and Physiology Part - C: Toxicology and Pharmacology;Animal Science and Zoology;Q1
Comparative Biochemistry and Physiology Part - C: Toxicology and Pharmacology;Aquatic Science;Q1
Comparative Biochemistry and Physiology Part - C: Toxicology and Pharmacology;Biochemistry;Q2
Comparative Biochemistry and Physiology Part - C: Toxicology and Pharmacology;Health, Toxicology and Mutagenesis;Q2
Comparative Biochemistry and Physiology Part - C: Toxicology and Pharmacology;Medicine, miscellaneous;Q2
Comparative Biochemistry and Physiology Part - C: Toxicology and Pharmacology;Physiology;Q2
Comparative Biochemistry and Physiology Part - C: Toxicology and Pharmacology;Toxicology;Q2
Comparative Biochemistry and Physiology Part - C: Toxicology and Pharmacology;Cell Biology;Q3
Contemporary Educational Technology;Education;Q1
Contemporary Educational Technology;Management of Technology and Innovation;Q2
Electronic Journal of e-Learning;Education;Q1
Electronic Journal of e-Learning;Computer Science Applications;Q2
Electronic Journal of e-Learning;E-learning;Q2
EuroMed Journal of Business;Business, Management and Accounting, miscellaneous;Q1
EuroMed Journal of Business;Finance;Q2
Fermentation;Food Science;Q1
Fermentation;Plant Science;Q1
Fermentation;Biochemistry, Genetics and Molecular Biology, miscellaneous;Q2
International Journal of Pavement Research and Technology;Civil and Structural Engineering;Q2
International Journal of Pavement Research and Technology;Mechanics of Materials;Q2
ISPRS International Journal of Geo-Information;Earth and Planetary Sciences, miscellaneous;Q1
ISPRS International Journal of Geo-Information;Geography, Planning and Development;Q1
ISPRS International Journal of Geo-Information;Computers in Earth Sciences;Q2
Molecular Genetics and Genomics;Genetics;Q2
Molecular Genetics and Genomics;Medicine, miscellaneous;Q2
Molecular Genetics and Genomics;Molecular Biology;Q3
Acarologia;Insect Science;Q1
ACS Combinatorial Science;Chemistry, miscellaneous;Q1
ACS Combinatorial Science;Medicine, miscellaneous;Q2
Blood Cells, Molecules, and Diseases;Hematology;Q2
Blood Cells, Molecules, and Diseases;Cell Biology;Q3
Blood Cells, Molecules, and Diseases;Molecular Biology;Q3
Blood Cells, Molecules, and Diseases;Molecular Medicine;Q3
Clinical Research in Cardiology Supplements;Medicine, miscellaneous;Q2
Clinical Research in Cardiology Supplements;Radiology, Nuclear Medicine and Imaging;Q2
Clinical Research in Cardiology Supplements;Molecular Biology;Q3
Clinical Research in Cardiology Supplements;Structural Biology;Q3
Electronic Journal of the International Federation of Clinical Chemistry and Laboratory Medicine;Biochemistry, medical;Q2
Electronic Journal of the International Federation of Clinical Chemistry and Laboratory Medicine;Clinical Biochemistry;Q2
Functional Plant Biology;Agronomy and Crop Science;Q1
Functional Plant Biology;Plant Science;Q1
International Journal of General Systems;Computer Science Applications;Q2
International Journal of General Systems;Control and Systems Engineering;Q2
International Journal of General Systems;Information Systems;Q2
International Journal of General Systems;Modeling and Simulation;Q2
International Journal of General Systems;Theoretical Computer Science;Q2
International Journal of Medical Sciences;Medicine, miscellaneous;Q2
Journal of Psychosomatic Obstetrics and Gynaecology;Clinical Psychology;Q2
Journal of Psychosomatic Obstetrics and Gynaecology;Obstetrics and Gynecology;Q2
Journal of Psychosomatic Obstetrics and Gynaecology;Psychiatry and Mental Health;Q2
Journal of Psychosomatic Obstetrics and Gynaecology;Reproductive Medicine;Q2
AEU - International Journal of Electronics and Communications;Electrical and Electronic Engineering;Q2
American Journal of Industrial Medicine;Public Health, Environmental and Occupational Health;Q2
Applied Set-Valued Analysis and Optimization;Analysis;Q2
Applied Set-Valued Analysis and Optimization;Applied Mathematics;Q2
Applied Set-Valued Analysis and Optimization;Control and Optimization;Q2
Applied Set-Valued Analysis and Optimization;Mathematics, miscellaneous;Q2
Applied Set-Valued Analysis and Optimization;Modeling and Simulation;Q2
Applied Set-Valued Analysis and Optimization;Numerical Analysis;Q2
Diagnostic and Interventional Radiology;Cardiology and Cardiovascular Medicine;Q2
Diagnostic and Interventional Radiology;Radiology, Nuclear Medicine and Imaging;Q2
Endocrine Journal;Endocrinology;Q2
Endocrine Journal;Endocrinology, Diabetes and Metabolism;Q2
Frontiers in Veterinary Science;Veterinary, miscellaneous;Q1
Gene;Genetics;Q2
Gene;Medicine, miscellaneous;Q2
International Journal of Construction Management;Building and Construction;Q2
International Journal of Construction Management;Management of Technology and Innovation;Q2
International Journal of Construction Management;Strategy and Management;Q2
Journal of Biomedical Semantics;Computer Networks and Communications;Q2
Journal of Biomedical Semantics;Computer Science Applications;Q2
Journal of Biomedical Semantics;Health Informatics;Q2
Journal of Biomedical Semantics;Information Systems;Q2
Journal of Microelectromechanical Systems;Mechanical Engineering;Q1
Journal of Microelectromechanical Systems;Electrical and Electronic Engineering;Q2
Journal of Psychology: Interdisciplinary and Applied;Business, Management and Accounting, miscellaneous;Q1
Journal of Psychology: Interdisciplinary and Applied;Education;Q1
Journal of Psychology: Interdisciplinary and Applied;Psychology, miscellaneous;Q2
Research in Mathematical Sciences;Applied Mathematics;Q2
Research in Mathematical Sciences;Computational Mathematics;Q2
Research in Mathematical Sciences;Mathematics, miscellaneous;Q2
Research in Mathematical Sciences;Theoretical Computer Science;Q2
Service Science;Business and International Management;Q2
Service Science;Management Science and Operations Research;Q2
Service Science;Marketing;Q2
Service Science;Modeling and Simulation;Q2
Abacus;Accounting;Q2
Applied Linguistics Review;Linguistics and Language;Q1
Clinical Drug Investigation;Medicine, miscellaneous;Q2
Clinical Drug Investigation;Pharmacology, medical;Q2
Frontiers of Physics;Physics and Astronomy, miscellaneous;Q2
International Journal of Endocrinology;Endocrinology, Diabetes and Metabolism;Q2
International Journal of Endocrinology;Endocrine and Autonomic Systems;Q3
International Journal of Endocrinology;Endocrinology;Q3
Journal of Clinical and Experimental Hepatology;Hepatology;Q3
Journal of Positive Psychology and Wellbeing (discontinued);Education;Q1
Journal of Positive Psychology and Wellbeing (discontinued);Applied Psychology;Q2
Journal of Positive Psychology and Wellbeing (discontinued);Life-span and Life-course Studies;Q2
Journal of Positive Psychology and Wellbeing (discontinued);Social Psychology;Q2
Nutritional Neuroscience;Medicine, miscellaneous;Q2
Nutritional Neuroscience;Nutrition and Dietetics;Q2
Nutritional Neuroscience;Neuroscience, miscellaneous;Q3
Operations Research Letters;Industrial and Manufacturing Engineering;Q1
Operations Research Letters;Applied Mathematics;Q2
Operations Research Letters;Management Science and Operations Research;Q2
Operations Research Letters;Software;Q2
Petroleum Geology and Experiment;Geology;Q2
Petroleum Geology and Experiment;Geophysics;Q2
Science as Culture;Cultural Studies;Q1
Science as Culture;Health, social science;Q1
Science as Culture;History and Philosophy of Science;Q1
Science as Culture;Sociology and Political Science;Q1
Science as Culture;Biomedical Engineering;Q2
Science as Culture;Biotechnology;Q2
Spatial Statistics;Computers in Earth Sciences;Q2
Spatial Statistics;Management, Monitoring, Policy and Law;Q2
Spatial Statistics;Statistics and Probability;Q2
Biological Cybernetics;Biotechnology;Q2
Biological Cybernetics;Computer Science, miscellaneous;Q2
Citizenship Studies;Geography, Planning and Development;Q1
Citizenship Studies;Political Science and International Relations;Q1
CRISPR Journal;Biotechnology;Q2
CRISPR Journal;Genetics;Q2
Engineering, Construction and Architectural Management;Architecture;Q1
Engineering, Construction and Architectural Management;Business, Management and Accounting, miscellaneous;Q1
Engineering, Construction and Architectural Management;Building and Construction;Q2
Engineering, Construction and Architectural Management;Civil and Structural Engineering;Q2
Evolutionary Ecology;Ecology, Evolution, Behavior and Systematics;Q2
FEMS Microbiology Letters;Genetics;Q2
FEMS Microbiology Letters;Microbiology;Q3
FEMS Microbiology Letters;Molecular Biology;Q3
First Language;Education;Q1
First Language;Linguistics and Language;Q1
International Journal of Science Education, Part B: Communication and Public Engagement;Communication;Q1
International Journal of Science Education, Part B: Communication and Public Engagement;Education;Q1
Journal Physics D: Applied Physics;Acoustics and Ultrasonics;Q1
Journal Physics D: Applied Physics;Surfaces, Coatings and Films;Q1
Journal Physics D: Applied Physics;Condensed Matter Physics;Q2
Journal Physics D: Applied Physics;Electronic, Optical and Magnetic Materials;Q2
ACM Transactions on Human-Robot Interaction;Artificial Intelligence;Q2
ACM Transactions on Human-Robot Interaction;Human-Computer Interaction;Q2
Addiction Research and Theory;Medicine, miscellaneous;Q2
BioMedical Engineering Online;Biomaterials;Q2
BioMedical Engineering Online;Biomedical Engineering;Q2
BioMedical Engineering Online;Medicine, miscellaneous;Q2
BioMedical Engineering Online;Radiological and Ultrasound Technology;Q2
BioMedical Engineering Online;Radiology, Nuclear Medicine and Imaging;Q2
BMC Molecular and Cell Biology;Cell Biology;Q3
BMC Molecular and Cell Biology;Molecular Biology;Q3
Developmental and Comparative Immunology;Developmental Biology;Q3
Developmental and Comparative Immunology;Immunology;Q3
IEEE Computer Architecture Letters;Hardware and Architecture;Q2
Journal of Economic Structures;Economics, Econometrics and Finance, miscellaneous;Q1
Journal of Economic Structures;Economics and Econometrics;Q2
Journal of Gastric Cancer;Gastroenterology;Q2
Journal of Gastric Cancer;Oncology;Q2
Journal of Gastric Cancer;Cancer Research;Q3
Journal of Pharmaceutical Investigation;Pharmaceutical Science;Q1
Journal of Pharmaceutical Investigation;Pharmacology, Toxicology and Pharmaceutics, miscellaneous;Q1
Journal of Statistical Physics;Mathematical Physics;Q2
Journal of Statistical Physics;Statistical and Nonlinear Physics;Q2
Journal of Toxicology;Pharmacology;Q2
Journal of Toxicology;Toxicology;Q2
Magnetic Resonance Imaging;Biomedical Engineering;Q2
Magnetic Resonance Imaging;Biophysics;Q2
Magnetic Resonance Imaging;Radiology, Nuclear Medicine and Imaging;Q2
Multimedia Tools and Applications;Media Technology;Q1
Multimedia Tools and Applications;Computer Networks and Communications;Q2
Multimedia Tools and Applications;Hardware and Architecture;Q2
Multimedia Tools and Applications;Software;Q2
Water (Switzerland);Aquatic Science;Q1
Water (Switzerland);Geography, Planning and Development;Q1
Water (Switzerland);Water Science and Technology;Q1
Water (Switzerland);Biochemistry;Q2
World Journal of Surgical Oncology;Surgery;Q1
World Journal of Surgical Oncology;Oncology;Q2
Cerebrovascular Diseases Extra;Cardiology and Cardiovascular Medicine;Q2
Cerebrovascular Diseases Extra;Neurology;Q2
Cerebrovascular Diseases Extra;Neurology, clinical;Q2
Conservation Genetics;Ecology, Evolution, Behavior and Systematics;Q2
Conservation Genetics;Genetics;Q2
Disability and Rehabilitation;Rehabilitation;Q1
Journal of Biomedical Informatics: X;Computer Science Applications;Q2
Journal of Biomedical Informatics: X;Health Informatics;Q2
Journal of Financial Services Research;Accounting;Q2
Journal of Financial Services Research;Economics and Econometrics;Q2
Journal of Financial Services Research;Finance;Q2
Journal of the American Society for Mass Spectrometry;Spectroscopy;Q2
Journal of the American Society for Mass Spectrometry;Structural Biology;Q3
MicroRNA  (Shariqah, United Arab Emirates);Emergency Medicine;Q1
MicroRNA  (Shariqah, United Arab Emirates);Medicine, miscellaneous;Q2
MicroRNA  (Shariqah, United Arab Emirates);Orthopedics and Sports Medicine;Q2
Modeling Earth Systems and Environment;Agricultural and Biological Sciences, miscellaneous;Q1
Modeling Earth Systems and Environment;Computers in Earth Sciences;Q2
Modeling Earth Systems and Environment;Environmental Science, miscellaneous;Q2
Modeling Earth Systems and Environment;Statistics, Probability and Uncertainty;Q2
Sarcoma;Oncology;Q2
Sarcoma;Radiology, Nuclear Medicine and Imaging;Q2
Stanford Law Review;Law;Q1
Stanford Law Review;Medicine, miscellaneous;Q2
Archival Science;History;Q1
Archival Science;Library and Information Sciences;Q1
BJGP Open;Family Practice;Q1
Clinical Spine Surgery;Surgery;Q1
Clinical Spine Surgery;Neurology, clinical;Q2
Clinical Spine Surgery;Orthopedics and Sports Medicine;Q2
Cross-Cultural Research;Anthropology;Q1
Cross-Cultural Research;Arts and Humanities, miscellaneous;Q1
Cross-Cultural Research;Psychology, miscellaneous;Q2
Current Stem Cell Reports;Genetics;Q2
Current Stem Cell Reports;Cell Biology;Q3
Current Stem Cell Reports;Developmental Biology;Q3
Current Stem Cell Reports;Molecular Biology;Q3
Disability and Society;Health Professions, miscellaneous;Q1
Disability and Society;Health, social science;Q1
Disability and Society;Social Sciences, miscellaneous;Q1
Episodes;Earth and Planetary Sciences, miscellaneous;Q1
International Journal of Colorectal Disease;Gastroenterology;Q2
Irrigation Science;Agronomy and Crop Science;Q1
Irrigation Science;Water Science and Technology;Q1
Irrigation Science;Soil Science;Q2
Journal of Insect Physiology;Insect Science;Q1
Journal of Insect Physiology;Physiology;Q2
Journal of Optics (United Kingdom);Atomic and Molecular Physics, and Optics;Q2
Journal of Optics (United Kingdom);Electronic, Optical and Magnetic Materials;Q2
Journal of Pharmacological Sciences;Pharmacology;Q2
Journal of Pharmacological Sciences;Molecular Medicine;Q3
Musculoskeletal Science and Practice;Physical Therapy, Sports Therapy and Rehabilitation;Q2
Science and Public Policy;Geography, Planning and Development;Q1
Science and Public Policy;Management, Monitoring, Policy and Law;Q2
Science and Public Policy;Public Administration;Q2
Sleep Medicine: X;Medicine, miscellaneous;Q2
Soil Ecology Letters;Ecology;Q2
Soil Ecology Letters;Ecology, Evolution, Behavior and Systematics;Q2
Soil Ecology Letters;Soil Science;Q2
Compare;Education;Q1
Current Research in Biotechnology;Biotechnology;Q2
FASEB BioAdvances;Biochemistry, Genetics and Molecular Biology, miscellaneous;Q2
FASEB BioAdvances;Physiology;Q2
FASEB BioAdvances;Cancer Research;Q3
FASEB BioAdvances;Molecular Medicine;Q3
Georesursy;Geology;Q2
Georesursy;Geophysics;Q2
